Ticker,Price,EV/EBIT,M.EBIT,Vol.(Mi)3m
CSED3,3.35,5.38,16.66,1.84
GGBR4,23.15,5.533333333333334,21.033333333333335,370.05
DXCO3,10.4,5.63,19.48,40.22
DIRR3,10.29,5.703333333333333,29.026666666666667,15.83
JHSF3,6.19,5.746666666666667,37.46,23.86
TIMS3,12.57,5.753333333333333,18.913333333333334,85.6
MTRE3,4.45,5.989999999999999,10.053333333333333,2.28
MELK3,3.53,6.016666666666667,9.473333333333334,0.8
EZTC3,14.88,6.06,35.160000000000004,31.92
SIMH3,9.78,6.183333333333334,25.953333333333333,28.08
PRNR3,5.55,6.239999999999999,10.22,0.97
TAEE11,39.0,6.256666666666667,95.13333333333333,91.9
GMAT3,3.34,6.3566666666666665,11.893333333333333,21.31
KLBN11,19.8,6.433333333333333,36.093333333333334,118.27
CSAN3,18.39,6.463333333333334,26.22,158.33
MRFG3,12.8,6.579999999999999,12.646666666666667,121.86
ESPA3,2.84,6.6433333333333335,22.30666666666667,16.43
PTBL3,6.71,6.706666666666666,13.073333333333332,5.39
CPFE3,30.6,6.726666666666667,18.593333333333334,134.97
JSLG3,5.24,6.726666666666667,15.673333333333332,2.83
PARD3,17.91,6.743333333333333,15.406666666666666,3.6
ENGI11,40.75,6.823333333333333,19.66,90.06
PRIO3,21.53,6.903333333333333,36.95333333333333,447.38
TRIS3,3.49,6.9433333333333325,35.199999999999996,6.41
BMOB3,12.21,7.083333333333333,15.853333333333333,7.1
RAIZ4,4.78,7.12,12.286666666666667,76.19
CSMG3,11.63,7.170000000000001,20.9,24.69
CBAV3,11.5,7.3,20.986666666666668,61.33
FIQE3,3.18,7.333333333333333,23.16,2.4
PFRM3,3.3,7.3999999999999995,2.8866666666666667,0.51
TGMA3,13.91,7.46,14.053333333333333,3.19
CRFB3,16.23,7.460000000000001,11.159999999999998,77.96
VALE3,74.62,7.496666666666666,41.57666666666667,2310.0
LCAM3,23.0,7.55,25.596666666666664,56.92
TRPL4,23.02,7.640000000000001,53.699999999999996,38.68
CAML3,9.84,7.753333333333334,10.343333333333332,12.19
VULC3,10.81,7.973333333333334,14.493333333333334,4.38
HBOR3,2.62,8.006666666666666,113.66666666666667,1.94
LPSB3,2.52,8.25,17.62,2.9
DESK3,7.69,8.42,18.2,5.09
ECOR3,6.12,8.443333333333333,36.25333333333334,32.46
EGIE3,41.01,8.476666666666667,33.626666666666665,63.1
PETR4,26.29,8.623333333333333,34.96,2330.0
TFCO4,8.42,8.653333333333334,18.833333333333332,3.15
AGXY3,7.67,8.716666666666667,3.16,0.81
NEOE3,15.91,8.72,15.613333333333335,32.05
PORT3,7.99,8.860000000000001,19.013333333333332,5.21
ODPV3,9.23,8.873333333333333,25.540000000000003,12.3
ASAI3,14.97,9.486666666666666,6.513333333333333,119.31
VLID3,9.94,9.503333333333332,9.733333333333334,3.47
STBP3,6.41,9.563333333333333,31.133333333333336,27.38
MOAR3,467.0,9.653333333333334,55690.206666666665,0.3
TTEN3,8.1,9.813333333333334,6.859999999999999,8.17
COCE5,51.04,9.866666666666665,12.906666666666666,0.66
