Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
EQUATORIAL ENERGIA,EQTL3,22.87,9.02,20.94,238955620.26,[]
MPM CORPÓREOS S.A.,ESPA3,2.84,7.13,27.76,14912607.82,[]
ESTRELA,ESTR4,53.0,8.62,7.99,14450.0,[]
ETERNIT,ETER3,10.33,1.34,29.41,13361301.05,['RECUPERAÇÃO JUDICIAL']
EUCATEX,EUCA3,14.09,2.43,22.15,23000.39,[]
EUCATEX,EUCA4,8.1,2.43,22.15,421903.18,[]
EVEN CONSTRUTORA E INCORPORADORA,EVEN3,4.43,2.28,9.35,7652028.26,[]
EZ TEC,EZTC3,14.88,7.13,33.34,32385924.08,[]
FERBASA,FESA3,49.1,4.03,38.14,25843.68,[]
FERBASA,FESA4,49.98,4.03,38.14,18138409.92,[]
FERTILIZANTES HERINGER,FHER3,16.74,1.50,17.21,9364826.56,['RECUPERAÇÃO JUDICIAL']
UNIFIQUE TELECOMUNICAÇÕES S.A.,FIQE3,3.18,5.80,26.59,2489108.59,[]
FLEURY,FLRY3,14.4,10.06,16.91,31577976.54,[]
FRAS-LE,FRAS3,9.71,12.61,9.69,3678469.21,[]
METALFRIO SOLUTIONS,FRIO3,41.5,6.78,8.99,12450.0,[]
POMIFRUTAS,FRTA3,2.7,-162.45,-2.84,7686.59,['RECUPERAÇÃO JUDICIAL']
RIO PARANAPANEMA,GEPA3,24.38,13.57,17.77,16993.88,[]
RIO PARANAPANEMA,GEPA4,25.11,13.57,17.77,14438.28,[]
GETNET,GETT3,2.19,-,20.00,348850.0,[]
GETNET,GETT4,2.18,-,20.00,361074.72,[]
GAFISA,GFSA3,1.19,6.62,25.79,8907075.85,[]
GERDAU,GGBR3,18.54,1.88,27.30,1368992.0,[]
GERDAU,GGBR4,23.15,1.88,27.30,414418927.95,[]
GPS PARTICIPACOES E EMPREENDIMENTOS S.A.,GGPS3,11.22,11.82,9.26,17137932.69,[]
GRUPO MATEUS S.A.,GMAT3,3.34,9.18,5.64,23228858.03,[]
METALURGICA GERDAU,GOAU3,8.98,0.66,27.26,928822.18,[]
METALURGICA GERDAU,GOAU4,9.74,0.66,27.26,117433219.03,[]
GOL,GOLL4,10.5,-4.40,-35.60,105607118.15,[]
CELGPAR,GPAR3,29.5,0.34,433.13,2950.0,[]
GRENDENE,GRND3,7.47,16.63,14.37,14447696.69,[]
GENERAL SHOPPING,GSHP3,23.0,28.19,39.72,6705.39,[]
GUARARAPES CONFECÇÕES,GUAR3,7.34,12.91,5.56,11527132.18,[]
HAGA S/A,HAGA3,2.82,1.90,18.00,32488.41,[]
HAGA S/A,HAGA4,1.36,1.90,18.00,33665.28,[]
HAPVIDA,HAPV3,5.56,177.57,2.10,385318519.44,[]
HELBOR,HBOR3,2.62,10.23,14.45,1760629.18,[]
HBR REALTY EMPREENDIMENTOS IMOBILIARIOS,HBRE3,4.6,3.64,305.26,262616.31,[]
HIDROVIAS DO BRASIL S.A.,HBSA3,2.37,20.97,19.10,12256571.36,[]
HABITASUL,HBTS5,43.99,18.02,11.56,9004.8,[]
HOTEIS OTHON S.A.,HOOT4,2.12,-0.28,-61.54,19871.82,['RECUPERAÇÃO JUDICIAL']
HYPERA,HYPE3,37.95,14.56,33.63,160472703.03,[]
INFRACOMMERCE CXAAS S.A.,IFCM3,4.45,-25.37,-10.89,5379140.51,[]
IGB ELETRÔNICA,IGBR3,31.15,-13.15,-756.72,163453.11,['RECUPERAÇÃO JUDICIAL']
JEREISSATI,IGTI11,18.3,16.24,42.48,59339750.21,[]
JEREISSATI,IGTI3,2.28,16.24,42.48,530450.03,[]
INEPAR,INEP3,0.61,0.70,5523.07,1223545.08,['RECUPERAÇÃO JUDICIAL']
INEPAR,INEP4,0.6,0.70,5523.07,370197.79,['RECUPERAÇÃO JUDICIAL']
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,INTB3,25.71,22.90,10.96,39834114.64,[]
JALLES MACHADO S.A.,JALL3,7.57,-,0.00,8802254.51,[]
JBS,JBSS3,33.04,3.95,9.57,278768316.49,[]
JOÃO FORTES ENGENHARIA,JFEN3,0.89,-3.17,-2374.82,125047.54,[]
JHSF,JHSF3,6.19,4.99,53.79,21020318.85,[]
JOSAPAR,JOPA3,21.6,7.29,4.81,16200.23,[]
JOSAPAR,JOPA4,35.09,7.29,4.81,3509.0,[]
JSL S.A.,JSLG3,5.24,8.08,12.61,2902840.69,[]
KEPLER WEBER,KEPL3,15.03,3.93,22.30,13521648.28,[]
KLABIN,KLBN11,19.8,6.34,36.29,126993958.51,[]
KLABIN,KLBN3,4.12,6.34,36.29,592187.72,[]
KLABIN,KLBN4,3.94,6.34,36.29,2356562.31,[]
KORA SAÚDE PARTICIPAÇÕES S.A,KRSA3,3.0,24.62,10.85,935266.79,[]
Terra Santa Propriedades Agricolas S.A.,LAND3,27.49,59.07,50.80,1098837.49,[]
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,4.6,2.37,27.45,5380464.0,[]
LOCAMERICA,LCAM3,23.0,8.19,29.33,63674032.72,[]
MAHLE-METAL LEVE,LEVE3,23.43,4.09,19.21,7449986.87,[]
LIGHT,LIGT3,7.66,8.61,8.14,26708503.18,[]
ELETROPAR,LIPR3,66.01,28.99,-,39594.1,[]
LOJAS QUERO-QUERO S/A,LJQQ3,6.25,9.19,6.82,19237284.74,[]
