Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
LOJAS RENNER,LREN3,26.03,18.77,10.25,298190000.0,FASE OPERACIONAL
LUPATECH,LUPA3,3.97,-8.99,-24.31,2320000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
TREVISA,LUXM4,79.19,18.56,16.02,17010.0,FASE OPERACIONAL
WDC NETWORKS,LVTC3,7.98,2.35,11.23,1480000.0,FASE OPERACIONAL
LOCAWEB,LWSA3,9.01,173.7,2.33,104370000.0,FASE OPERACIONAL
CEMEPE,MAPT4,12.85,-126.43,,18211.0,FASE OPERACIONAL
MATER DEI,MATD3,9.03,10.19,21.88,4440000.0,FASE OPERACIONAL
MOBLY,MBLY3,2.37,-2.44,-13.83,2970000.0,FASE OPERACIONAL
M.DIASBRANCO,MDIA3,42.42,25.04,7.06,49150000.0,FASE OPERACIONAL
MOURA DUBEUX,MDNE3,6.77,5.78,11.88,1050000.0,FASE OPERACIONAL
IMC S/A,MEAL3,1.94,38.09,1.03,3160000.0,FASE OPERACIONAL
OMEGAENERGIA,MEGA3,10.91,12.53,74.01,40400000.0,FASE OPERACIONAL
MELNICK,MELK3,4.37,7.7,8.47,751380.0,FASE OPERACIONAL
MANGELS INDL,MGEL4,17.0,6.0,13.38,20600.0,FASE OPERACIONAL
MAGAZ LUIZA,MGLU3,4.0,-694.28,-0.13,563020000.0,FASE OPERACIONAL
MILLS,MILS3,10.18,10.74,26.24,8270000.0,FASE OPERACIONAL
MULTILASER,MLAS3,4.75,6.64,13.31,6210000.0,FASE OPERACIONAL
MUNDIAL,MNDL3,27.61,4.03,13.38,39600.0,FASE OPERACIONAL
MINUPAR,MNPR3,7.86,0.82,19.49,44900.0,FASE OPERACIONAL
MONT ARANHA,MOAR3,473.0,-119.32,-106252.17,377700.0,FASE OPERACIONAL
MOVIDA,MOVI3,14.16,6.29,31.93,34700000.0,FASE OPERACIONAL
MARFRIG,MRFG3,12.67,3.14,15.04,114070000.0,FASE OPERACIONAL
MRV,MRVE3,10.86,8.13,17.60,82940000.0,FASE OPERACIONAL
MELHOR SP,MSPA3,50.01,-17.8,-13.35,0.0,FASE OPERACIONAL
MELHOR SP,MSPA4,41.35,-17.8,-13.35,12723.0,FASE OPERACIONAL
METAL IGUACU,MTIG4,27.8,-4.22,-75.33,5400.0,FASE OPERACIONAL
MITRE REALTY,MTRE3,5.04,12.6,7.17,1940000.0,FASE OPERACIONAL
METISA,MTSA4,42.23,4.73,13.75,50440.0,FASE OPERACIONAL
MULTIPLAN,MULT3,24.41,18.21,54.31,94660000.0,FASE OPERACIONAL
WETZEL S/A,MWET3,22.0,-7.42,-4.89,14798.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
WETZEL S/A,MWET4,10.9,-7.42,-4.89,44090.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
IOCHP-MAXION,MYPK3,12.98,4.6,9.08,23870000.0,FASE OPERACIONAL
NEOENERGIA,NEOE3,16.51,5.78,21.16,29570000.0,FASE OPERACIONAL
NEOGRID,NGRD3,1.73,35.11,2.55,1730000.0,FASE OPERACIONAL
GETNINJAS,NINJ3,2.7,2.67,-90.79,892130.0,FASE OPERACIONAL
NORDON MET,NORD3,9.6,-437.54,-13.16,3180.0,PARALISADA
GRUPO NATURA,NTCO3,14.77,38.11,2.01,188460000.0,FASE OPERACIONAL
NUTRIPLANT,NUTR3,280.0,2.82,10.22,1990.0,FASE OPERACIONAL
ODONTOPREV,ODPV3,9.69,9.28,30.61,11060000.0,FASE OPERACIONAL
OUROFINO S/A,OFSA3,21.64,10.09,14.70,247290.0,FASE OPERACIONAL
OI,OIBR3,0.56,-7.36,-26.36,32810000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
OI,OIBR4,1.05,-7.36,-26.36,1000000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
ONCOCLINICAS,ONCO3,6.66,11.29,13.25,8640000.0,FASE OPERACIONAL
OCEANPACT,OPCT3,2.4,705.44,0.19,3270000.0,FASE OPERACIONAL
ORIZON,ORVR3,38.63,30.28,21.75,12310000.0,FASE OPERACIONAL
OSX BRASIL,OSXB3,7.4,5.66,2670.17,111160.0,FASE OPERACIONAL
IHPARDINI,PARD3,21.2,8.8,16.36,7900000.0,FASE OPERACIONAL
PANATLANTICA,PATI3,60.95,7.04,8.69,2170.0,FASE OPERACIONAL
PANATLANTICA,PATI4,52.9,7.04,8.69,98075.0,FASE OPERACIONAL
P.ACUCAR-CBD,PCAR3,22.73,6.74,3.03,52020000.0,FASE OPERACIONAL
PDG REALT,PDGR3,0.82,-4.54,-87.13,662740.0,FASE OPERACIONAL
PADTEC,PDTC3,3.69,8.15,11.66,192020.0,FASE OPERACIONAL
PAR AL BAHIA,PEAB3,57.0,4.06,519.54,4480.0,FASE OPERACIONAL
PAR AL BAHIA,PEAB4,73.99,4.06,519.54,3380.0,FASE OPERACIONAL
PETROBRAS,PETR3,35.9,2.19,50.42,587120000.0,FASE OPERACIONAL
PETROBRAS,PETR4,32.1,2.19,50.42,2290000000.0,FASE OPERACIONAL
PETZ,PETZ3,9.72,18.83,6.62,114740000.0,FASE OPERACIONAL
PROFARMA,PFRM3,3.65,6.54,2.81,563010.0,FASE OPERACIONAL
PAGUE MENOS,PGMN3,5.03,8.05,4.53,5840000.0,FASE OPERACIONAL
PLASCAR PART,PLAS3,9.69,-18.45,-2.79,9810.0,FASE OPERACIONAL
PLANOEPLANO,PLPL3,2.76,5.47,10.46,1650000.0,FASE OPERACIONAL
PARANAPANEMA,PMAM3,6.34,-6.83,-13.47,662490.0,FASE OPERACIONAL
DIMED,PNVL3,12.14,21.95,3.27,6210000.0,FASE OPERACIONAL
MARCOPOLO,POMO3,2.22,21.94,4.19,202780.0,FASE OPERACIONAL
MARCOPOLO,POMO4,2.61,21.94,4.19,9670000.0,FASE OPERACIONAL
WILSON SONS,PORT3,9.01,12.3,23.98,4020000.0,FASE OPERACIONAL
POSITIVO TEC,POSI3,11.19,5.84,9.81,21300000.0,FASE OPERACIONAL
PETRORIO,PRIO3,28.72,7.58,54.83,398210000.0,FASE OPERACIONAL
PRINER,PRNR3,5.85,6.2,7.42,785750.0,FASE OPERACIONAL
PORTOBELLO,PTBL3,10.86,6.01,16.15,5610000.0,FASE OPERACIONAL
PETTENATI,PTNT3,12.7,5.32,11.80,36080.0,FASE OPERACIONAL
PETTENATI,PTNT4,5.96,5.32,11.80,68740.0,FASE OPERACIONAL
QUALICORP,QUAL3,8.95,6.78,28.94,33330000.0,FASE OPERACIONAL
RAIADROGASIL,RADL3,22.55,25.26,5.82,116340000.0,FASE OPERACIONAL
RUMO S.A.,RAIL3,20.21,31.43,18.76,160430000.0,FASE OPERACIONAL
RAIZEN,RAIZ4,4.44,6.57,2.78,47310000.0,FASE OPERACIONAL
IRANI,RANI3,7.6,4.66,31.80,8500000.0,FASE OPERACIONAL
RANDON PART,RAPT3,8.41,4.93,11.47,155340.0,FASE OPERACIONAL
RANDON PART,RAPT4,9.27,4.93,11.47,23010000.0,FASE OPERACIONAL
RECRUSUL,RCSL3,2.75,89.55,0.90,1880000.0,FASE OPERACIONAL
RECRUSUL,RCSL4,1.03,89.55,0.90,413730.0,FASE OPERACIONAL
RNI,RDNI3,6.96,29.85,4.59,93110.0,FASE OPERACIONAL
REDE D OR,RDOR3,33.51,22.31,17.20,142990000.0,FASE OPERACIONAL
PETRORECSA,RECV3,28.09,9.04,40.75,48610000.0,FASE OPERACIONAL
REDE ENERGIA,REDE3,6.14,5.77,22.28,6060.0,FASE OPERACIONAL
LOCALIZA,RENT3,61.75,18.93,33.01,394010000.0,FASE OPERACIONAL
RENOVA,RNEW11,6.26,2.93,385.70,91990.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
RENOVA,RNEW3,2.19,2.93,385.70,166990.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
RENOVA,RNEW4,2.22,2.93,385.70,390940.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
ROMI,ROMI3,13.86,7.43,13.57,3920000.0,FASE OPERACIONAL
PET MANGUINH,RPMG3,1.91,-0.68,-13.91,25460.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
3R PETROLEUM,RRRP3,37.68,15.33,38.79,141950000.0,FASE OPERACIONAL
ROSSI RESID,RSID3,3.09,-1.96,-1844.78,445620.0,FASE OPERACIONAL
RIOSULENSE,RSUL4,74.82,4.85,24.40,104580.0,FASE OPERACIONAL
