Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
HERCULES S/A,HETA4,4.1,113.74,92.5,556.0
HOTEIS OTHON S.A.,HOOT4,1.19,-0.1,-176.6,5537.0
HYPERA,HYPE3,45.5,15.16,33.2,153548000.0
INFRACOMM,IFCM3,2.34,-15.87,-9.4,2446850.0
GRADIENTE,IGBR3,54.99,-10.89,-575.2,213630.0
IGUATEMI S.A,IGTI11,18.97,14.34,46.1,58093800.0
IGUATEMI S.A,IGTI3,2.38,12.9,46.1,323111.0
INEPAR S/A,INEP3,1.21,0.7,,2149110.0
INEPAR S/A,INEP4,1.01,0.68,,947501.0
INTELBRAS,INTB3,29.18,20.51,11.6,30900900.0
JALLESMACHAD,JALL3,7.54,6.98,29.3,4205370.0
JBS,JBSS3,18.84,3.84,8.2,180218000.0
JOÃO FORTES ENGENHARIA S.A.,JFEN3,0.59,-7.04,-536.9,56065.0
JHSF Part,JHSF3,4.8,5.55,46.8,12955500.0
JOSAPAR S/A,JOPA3,21.6,7.27,5.5,5999.0
JOSAPAR S/A,JOPA4,37.4,8.67,5.5,85.0
JULIO SIMOES,JSLG3,6.51,9.14,10.5,3160050.0
KEPLER WEBER SA,KEPL3,23.5,4.24,26.7,12802200.0
KLABIN,KLBN11,19.59,6.56,32.8,128652000.0
KLABIN,KLBN3,3.94,6.58,32.8,2721720.0
KLABIN,KLBN4,3.93,6.57,32.8,13931300.0
KORA SAUDE,KRSA3,1.16,14.27,10.7,640554.0
TERRASANTAPA,LAND3,0.0,,,0.0
LAVVI,LAVV3,5.19,6.42,16.8,2961420.0
MAHLE METAL LEVE,LEVE3,35.33,6.79,17.0,6316490.0
LIGHT SA,LIGT3,2.52,5.64,11.3,24609300.0
LIGHTPAR,LIPR3,70.0,-129.98,,3179.0
QUERO-QUERO,LJQQ3,3.33,5.33,4.5,18550200.0
LE LIS BLANC DEUX,LLIS3,1.73,-181.41,-1.1,687058.0
LOG COM PROP,LOGG3,17.8,20.19,75.1,7469150.0
Log-In,LOGN3,32.76,14.51,15.7,4852140.0
LOPES BRASIL,LPSB3,1.83,7.61,13.7,554827.0
RENNER,LREN3,19.28,6.34,21.4,310186000.0
LUPATECH,LUPA3,5.0,-29.04,-8.5,12852200.0
TREVISA INVESTIMENTOS SA,LUXM3,10.0,2.43,15.1,0.0
TREVISA INVESTIMENTOS SA,LUXM4,83.07,20.77,15.1,35849.0
WDC NETWORKS,LVTC3,7.2,1.19,22.5,1783690.0
LOCAWEB,LWSA3,5.44,66.88,2.6,63176800.0
CIA MARCOPOLO,MAPT3,37.5,-242.69,,0.0
CIA MARCOPOLO,MAPT4,10.21,-66.08,,0.0
MATER DEI,MATD3,9.48,13.86,20.5,4355410.0
MOBLY,MBLY3,3.25,-3.18,-14.6,3140430.0
M.DIASBRANCO,MDIA3,33.99,17.51,7.9,45039300.0
MOURA DUBEUX,MDNE3,5.34,2.81,16.1,870266.0
IMC S/A,MEAL3,2.09,-25.33,-1.5,4130670.0
OMEGAENERGIA,MEGA3,8.86,30.45,20.6,12863100.0
MELNICK,MELK3,2.97,3.7,10.7,1222220.0
MANGELS,MGEL3,25.0,6.79,11.8,0.0
MANGELS,MGEL4,11.99,6.16,11.8,39935.0
MAGAZ LUIZA,MGLU3,3.99,37.23,2.4,623700000.0
MILLS,MILS3,10.24,9.32,29.0,9804540.0
MULTILASER,MLAS3,2.61,-24.44,-2.6,7945910.0
MMX MINER,MMXM3,14.0,18.64,,0.0
MUNDIAL S/A,MNDL3,44.5,5.25,11.5,42485.0
MINUPAR,MNPR3,5.87,0.69,16.7,12787.0
MONTEIRO ARANHA,MOAR3,439.5,-155.04,,138040.0
MOVIDA,MOVI3,6.62,5.24,31.5,32466700.0
Marfrig,MRFG3,6.62,4.79,8.4,116654000.0
MRV,MRVE3,6.12,47.77,2.8,88339300.0
MELHORAMENTOS,MSPA3,46.25,-20.67,-10.4,420.0
MELHORAMENTOS,MSPA4,41.0,-18.94,-10.4,558.0
MITRE REALTY,MTRE3,4.08,15.35,5.8,2851260.0
METISA,MTSA4,43.8,3.0,14.5,112696.0
Multiplan,MULT3,23.66,14.01,64.1,111747000.0
WETZEL S.A.,MWET3,29.98,14.54,3.2,0.0
WETZEL S.A.,MWET4,11.13,10.23,3.2,28797.0
IOCHPE-MAXION,MYPK3,11.49,5.65,6.8,18813300.0
NEOENERGIA,NEOE3,14.45,5.2,23.6,20832300.0
NEXPE,NEXP3,9.12,-1.4,-31.4,107218.0
NEOGRID,NGRD3,1.16,8.73,3.5,1178850.0
GETNINJAS,NINJ3,2.88,2.56,-88.2,322664.0
NORDON INDS METALURGICAS SA,NORD3,6.98,-184.15,-28.1,2228.0
GRUPO NATURA,NTCO3,14.63,21.37,3.6,192600000.0
NUTRIPLANT,NUTR3,300.0,4.72,6.5,1364.0
ODONTOPREV,ODPV3,12.0,10.21,33.8,22310900.0
OUROFINO S/A,OFSA3,26.06,10.99,15.1,302721.0
OI,OIBR3,1.26,-4.18,-39.6,39937400.0
OI,OIBR4,3.12,-4.45,-39.6,1871110.0
ONCOCLINICAS,ONCO3,7.22,17.27,9.5,10475100.0
OCEANPACT,OPCT3,3.09,,,1408400.0
ORIZON,ORVR3,39.14,34.58,16.2,14262800.0
OSX BRASIL,OSXB3,5.31,-214.34,-69.1,74316.0
IHPARDINI,PARD3,19.56,8.45,15.7,8966410.0
PANATLANTICA,PATI3,43.9,12.53,3.4,4396.0
PANATLANTICA,PATI4,51.99,14.79,3.4,0.0
PÃO DE AÇÚCAR,PCAR3,18.2,2.79,7.0,67213100.0
PDG REALT,PDGR3,0.12,-14.68,-46.5,2954680.0
PADTEC,PDTC3,2.61,20.09,3.8,93150.0
CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA,PEAB3,38.0,-56.67,-16.8,3158.0
CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA,PEAB4,60.0,-101.63,-16.8,5088.0
PETROBRAS,PETR3,30.08,2.28,46.2,449539000.0
PETROBRAS,PETR4,26.72,2.12,46.2,1806940000.0
PETZ,PETZ3,6.52,13.01,8.4,83376000.0
PROFARMA,PFRM3,3.3,2.97,4.5,643964.0
PAGUE MENOS,PGMN3,3.67,7.45,4.2,3000400.0
PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A,PLAS3,9.0,94.11,0.5,2033.0
PLANOEPLANO,PLPL3,4.18,3.63,21.0,1523100.0
PARANAPANEMA S.A.,PMAM3,4.79,-24.37,-4.7,377317.0
PANVEL FARMÁCIAS,PNVL3,9.89,21.18,2.8,4573120.0
MARCOPOLO,POMO3,2.65,23.4,3.6,709590.0
MARCOPOLO,POMO4,3.16,26.26,3.6,13823600.0
WILSON SONS,PORT3,9.77,9.68,25.2,2850920.0
POSITIVO INF,POSI3,7.3,6.29,6.8,15140300.0
PETRORIO,PRIO3,42.75,8.7,60.6,386702000.0
PRINER,PRNR3,7.7,3.94,12.3,1504090.0
PORTOBELLO S/A,PTBL3,7.35,4.26,17.2,7381710.0
PETTENATI,PTNT3,9.12,9.71,6.8,11024.0
PETTENATI,PTNT4,6.45,7.55,6.8,60419.0
QUALICORP,QUAL3,5.42,4.28,35.6,33736600.0
RAIADROGASIL,RADL3,23.75,25.63,5.8,133765000.0
RUMO S.A.,RAIL3,17.54,19.32,24.2,183395000.0
RAIZEN,RAIZ4,3.21,16.7,1.8,87424800.0
CELULOSE IRANI,RANI3,8.13,4.73,33.1,8692040.0
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RAPT3,7.69,3.88,12.6,82346.0
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RAPT4,7.79,3.9,12.6,24047800.0
RECRUSUL,RCSL3,1.34,236.48,0.3,717754.0
RECRUSUL,RCSL4,0.56,96.33,0.3,403916.0
RNI,RDNI3,5.86,20.32,6.0,129321.0
REDE D OR,RDOR3,28.36,19.68,18.3,167987000.0
PETRORECONCA,RECV3,30.22,7.13,43.1,75423100.0
REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,REDE3,5.43,5.43,23.3,7868.0
LOCALIZA RENT A CAR,RENT3,56.81,19.64,27.7,411107000.0
RENOVA,RNEW11,6.01,-21.14,-38.2,38742.0
RENOVA,RNEW3,2.0,-21.12,-38.2,61554.0
RENOVA,RNEW4,2.09,-21.46,-38.2,100959.0
ROMI,ROMI3,18.06,7.89,15.3,12179900.0
REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A,RPMG3,1.58,-0.12,-18.7,28222.0
3R PETROLEUM,RRRP3,44.58,17.05,33.7,184913000.0
ROSSI RESIDENCIAL,RSID3,2.88,-8.87,-559.2,103395.0
METALURGICA RIOSULENSE S/A,RSUL4,56.5,3.15,26.2,184877.0
SANEPAR,SAPR11,17.43,4.36,36.8,18025400.0
SANEPAR,SAPR3,3.33,4.25,36.8,1080140.0
SANEPAR,SAPR4,3.49,4.36,36.8,8601280.0
GRUPO SBF,SBFG3,8.6,10.21,7.3,25086700.0
