Ticker,Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2024,P/Ativos,Marg. Líquida,2023,P/Cap. Giro,EBIT / Ativo,2022,P/Ativ Circ Liq,ROIC,2021,Div. Yield,ROE,2020,EV / EBITDA,Liquidez Corr,2019,EV / EBIT,Div Br/ Patrim,,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,EBIT,Lucro Líquido,2018,2017,2016,2015,2014,2013,Depósitos,Cart. de Crédito,Result Int Financ,Rec Serviços,1,-1,-2,-3,-4,2012,2011,2010
AERI3,AERI3,"5,31",ON NM,29/11/2024,AERIS ON NM,"5,08",Máquinas e Equipamentos,"20,20",Máq. e Equip. Industriais,1.522.140,329.858.000,30/09/2024,901.917.000,62.120.200,"4,53%","-2,40","-2,21","-15,71%","0,32","16,70","-17,03%","2,84","15,1%","-69,48%","0,21","7,4%","-70,50%","0,09","-8,8%","-20,35%","0,81","3,2%","-82,69%","-1,28","4,5%","-34,50%","0,0%","-13,3%","52,49%","4,16","1,22","0,00%","7,76","1,40",,"-12,0%","0,44",3.580.110.000,1.453.380.000,881.323.000,572.059.000,2.285.020.000,1.037.680.000,367.434.000,4.320.000,-56.678.000,,,,,,,,,,,,,,,,,,
AESB3,AESB3,"8,11",ON NM,31/10/2024,AES BRASIL ON NM,"8,11",Energia Elétrica,"12,55",Energia Elétrica,46.709.000,4.898.840.000,30/09/2024,15.179.000.000,604.050.000,"0,00%","-16,70","-0,49","0,00%","1,17","6,93","-7,84%","5,77","27,7%","-24,99%","1,30","22,5%","-33,64%","0,23","-4,6%","27,54%","-6,32","4,0%","-11,34%","-0,42","4,6%","-33,48%","0,9%","-7,0%","0,00%","8,38","0,84","0,00%","17,89","2,96",,"42,1%","0,18",20.948.000.000,12.389.300.000,2.109.210.000,10.280.100.000,3.977.320.000,4.184.440.000,1.102.430.000,176.819.000,-106.634.000,,,,,,,,,,,,,,,,,,
AESL3,AESL3,"10.081,90",ON,06/04/2005,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A. ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0,11.346.400.000,30/06/2024,19.112.800.000,1.125.430,"0,00%","10,96","920,16","0,00%","2,18","4.630,11","0,00%","4,56","30,8%","0,00%","1,09","23,9%",,"0,62","9,9%",,"73,77","13,5%",,"-1,17","14,9%",,"0,0%","19,9%",,"6,47","1,05",,"7,68","1,64",,"7,7%","0,57",18.428.100.000,8.561.720.000,795.382.000,7.766.340.000,3.504.670.000,5.210.850.000,2.576.610.000,533.703.000,166.037.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
AESL4,AESL4,"10.081,90",PN,06/04/2005,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A. PN,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0,11.346.400.000,30/06/2024,19.112.800.000,1.125.430,"0,00%","10,96","920,16","0,00%","2,18","4.630,11","0,00%","4,56","30,8%","0,00%","1,09","23,9%",,"0,62","9,9%",,"73,77","13,5%",,"-1,17","14,9%",,"0,0%","19,9%",,"6,47","1,05",,"7,68","1,64",,"7,7%","0,57",18.428.100.000,8.561.720.000,795.382.000,7.766.340.000,3.504.670.000,5.210.850.000,2.576.610.000,533.703.000,166.037.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
AFLT3,AFLT3,"7,03",ON,29/11/2024,AFLUENTE T ON,"6,61",Energia Elétrica,"8,09",Energia Elétrica,1.713,443.488.000,30/09/2024,422.349.000,63.085.000,"3,69%","19,63","0,36","-0,14%","1,79","3,92","1,88%","14,98","58,1%","-2,85%","8,09","54,0%","-11,90%","1,41","41,2%","-0,79%","15,52","9,4%","7,13%","41,84","10,3%","-3,58%","8,3%","9,1%","-4,46%","14,03","1,59","106,71%","14,26",-,,"14,9%","0,17",314.207.000,0,21.139.000,-21.139.000,77.347.000,247.459.000,20.677.000,9.166.000,6.062.000,,,,,,,,,,,,,,,,,,
AFLU3,AFLU3,"5,15",ON,22/11/2017,AFLUENTE ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0,96.912.700,30/09/2017,86.138.700,18.818.000,"0,00%","9,15","0,56","0,00%","2,19","2,35","0,00%","8,52","37,7%","0,00%","2,98","35,0%",,"1,92","32,6%",,"9,86","22,5%",,"12,21","31,2%",,"0,0%","23,9%",,"7,24","3,27","0,00%","7,57",-,,"8,6%","0,64",50.489.000,0,10.774.000,-10.774.000,14.159.000,44.270.000,7.595.000,2.907.000,2.746.000,"206,41%","-2,46%","87,23%","13,71%","-38,00%",,,,,,,,,,,,,
AFLU5,AFLU5,"5,03",PNA,23/11/2017,AFLUENTE PNA,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0,94.654.500,30/09/2017,83.880.500,18.818.000,"0,00%","8,93","0,56","0,00%","2,14","2,35","0,00%","8,32","37,7%","0,00%","2,91","35,0%",,"1,87","32,6%",,"9,63","22,5%",,"11,92","31,2%",,"0,0%","23,9%",,"7,05","3,27","0,00%","7,38",-,,"8,6%","0,64",50.489.000,0,10.774.000,-10.774.000,14.159.000,44.270.000,7.595.000,2.907.000,2.746.000,"-64,02%","-1,37%","0,00%","0,00%","0,00%",,,,,,,,,,,,,
AGEI3,AGEI3,"7,80",ON NM,11/06/2010,AGRE EMP IMOB ON NM,"0,00",Construção Civil,"0,00",Incorporações,0,2.340.000.000,31/03/2010,3.961.640.000,300.000.000,"0,00%","0,00","0,00","0,00%","1,25","6,26","0,00%",-,-,"0,00%",-,-,,"0,47",-,,"1,39","0,0%",,"-12,59",-,,"0,0%",-,,-,"2,45",,-,"1,01",,-,-,4.980.790.000,1.890.700.000,269.053.000,1.621.640.000,2.845.090.000,1.878.210.000,508.533.000,106.741.000,43.755.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
AGEN33,AGEN33,"0,16",DR3,05/08/2013,Agrenco DR3,"0,00",Comércio e Distribuição,"0,00",Alimentos,0,38.833.000,31/12/2012,1.263.120.000,242.706.000,"0,00%","0,39","0,41","0,00%","-0,03","-4,58","0,00%","0,11",-,"0,00%",-,-,,"0,07","0,0%",,"-0,17","57,9%",,"-0,02","87,7%",,"0,0%","-8,9%",,"3,61","0,09",,"3,73","-1,11",,"-87,0%",-,585.864.000,1.232.870.000,8.586.000,1.224.290.000,21.659.000,-1.112.630.000,-10.805.000,792.753.000,874.516.000,"0,00%","0,00%","0,00%","0,00%","0,00%","-33,33%",,,,,,,,,,,,
AGIN3,AGIN3,"5,29",ON NM,11/02/2010,Agra Incorp ON NM,"0,00",Construção Civil,"0,00",Incorporações,0,1.265.880.000,31/03/2010,1.702.120.000,239.297.000,"0,00%","8,46","0,63","0,00%","1,23","4,30","0,00%","10,92","34,4%","0,00%","1,82","16,6%",,"0,56","21,8%",,"1,29","5,2%",,"3,55","5,6%",,"0,0%","14,6%",,"14,68","2,72",,"14,68","0,55",,"44,2%","0,31",2.241.940.000,565.989.000,129.746.000,436.243.000,1.554.420.000,1.028.210.000,205.042.000,39.569.000,28.106.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
AGRO3,AGRO3,"23,61",ON NM,29/11/2024,BRASILAGRO ON NM,"21,81",Agropecuária,"26,43",Agricultura,5.992.280,2.424.360.000,30/09/2024,3.426.680.000,102.683.000,"0,38%","8,24","2,87","-0,42%","1,07","22,10","-0,04%","7,87","34,9%","3,83%","1,97","25,0%","-5,70%","0,63","23,9%","-0,23%","4,18","8,0%","22,82%","-5,63","8,9%","26,66%","6,6%","13,0%","35,75%","8,62","2,01","25,71%","11,13","0,52",,"8,0%","0,32",3.855.180.000,1.183.080.000,180.754.000,1.002.320.000,1.155.170.000,2.269.760.000,435.840.000,102.916.000,97.457.000,,,,,,,,,,,,,,,,,,
AGXY3,AGXY3,"0,65",ON NM,29/11/2024,AGROGALAXY ON NM,"0,39",Agropecuária,"4,06",Agricultura,517.891,165.453.000,30/06/2024,1.214.200.000,254.544.000,"-13,33%","-0,32","-2,02","58,54%","0,23","2,77","58,54%","-2,59","9,2%","-83,75%","0,02","-0,9%","-82,09%","0,03","-7,0%","-62,97%","-0,37","-1,0%","-5,97%","-0,11","-1,9%","0,19%","0,0%","-72,8%","0,00%","13,12","0,91","0,00%","-18,98","2,05",,"19,5%","1,14",6.513.330.000,1.442.010.000,393.261.000,1.048.750.000,4.248.710.000,705.136.000,1.056.120.000,-144.405.000,-295.730.000,,,,,,,,,,,,,,,,,,
AHEB3,AHEB3,"38,00",ON,29/11/2024,PARQUE ANHEMBI ON,"14,99",Viagens e Lazer,"38,00",Produção de Eventos e Shows,2.827,324.672.000,30/09/2024,255.791.000,8.544.000,"0,00%","2,27","16,75","0,00%","2,03","18,75","0,00%","2,09","28,1%","137,50%","0,45","21,7%","145,16%","0,63","20,0%","-22,50%","1,60","30,1%","-27,27%","-7,14","38,0%","20,51%","0,0%","89,3%","-34,25%","1,58","2,89","4,87%","1,65","0,03",,"63,7%","1,39",515.816.000,4.617.000,73.498.000,-68.881.000,310.100.000,160.224.000,186.415.000,12.975.000,25.995.000,,,,,,,,,,,,,,,,,,
AHEB5,AHEB5,"41,00",PNA,16/10/2024,PARQUE ANHEMBI PNA,"16,59",Viagens e Lazer,"41,00",Produção de Eventos e Shows,286,350.304.000,30/09/2024,281.423.000,8.544.000,"0,00%","2,45","16,75","0,00%","2,19","18,75","0,00%","2,26","28,1%","147,14%","0,49","21,7%","147,14%","0,68","20,0%","0,00%","1,73","30,1%","0,00%","-7,70","38,0%","-6,98%","0,0%","89,3%","-27,19%","1,73","2,89","17,77%","1,81","0,03",,"63,7%","1,39",515.816.000,4.617.000,73.498.000,-68.881.000,310.100.000,160.224.000,186.415.000,12.975.000,25.995.000,,,,,,,,,,,,,,,,,,
AHEB6,AHEB6,"35,50",PNB,20/08/2024,PARQUE ANHEMBI PNB,"20,00",Viagens e Lazer,"35,50",Produção de Eventos e Shows,0,303.312.000,30/09/2024,234.431.000,8.544.000,"0,00%","2,12","16,75","0,00%","1,89","18,75","0,00%","1,95","28,1%","108,58%","0,42","21,7%","108,58%","0,59","20,0%","-11,86%","1,50","30,1%","-62,50%","-6,67","38,0%","162,62%","0,0%","89,3%","0,00%","1,44","2,89","0,00%","1,51","0,03",,"63,7%","1,39",515.816.000,4.617.000,73.498.000,-68.881.000,310.100.000,160.224.000,186.415.000,12.975.000,25.995.000,,,,,,,,,,,,,,,,,,
ALBA3,ALBA3,"2,15",ON,27/07/2005,DANA-ALBARUS S/A INDÚSTRIA E COMÉRCIO ON,"0,00",,"0,00",,0,0,31/03/2005,-88.192.000,0,"0,00%","0,00","0,00","0,00%","0,00","0,00","0,00%",-,"19,8%","0,00%",-,"9,5%",,-,"9,6%",,-,"14,3%",,-,"20,4%",,"0,0%","19,8%",,"-1,27","1,83",,"-1,27","0,03",,"14,7%","1,51",482.874.000,10.198.000,98.390.000,-88.192.000,234.008.000,354.860.000,117.774.000,14.560.000,15.369.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
ALLD3,ALLD3,"8,85",ON NM,29/11/2024,ALLIED ON NM,"5,06",Comércio,"8,92",Eletrodomésticos,621.275,832.422.000,30/09/2024,1.068.640.000,94.059.000,"1,14%","5,35","1,65","16,14%","0,55","16,23","15,99%","6,40","11,8%","76,26%","0,15","2,3%","30,63%","0,24","2,8%","39,90%","0,86","3,8%","-61,55%","2,43","6,3%","1,97%","22,8%","10,2%","0,00%","5,77","1,76","0,00%","8,22","0,36",,"-0,3%","1,62",3.429.340.000,552.041.000,315.822.000,236.219.000,2.245.760.000,1.526.620.000,1.404.900.000,1.120.000,20.932.000,,,,,,,,,,,,,,,,,,
ALLL11,ALLL11,"16,50",UNT,21/10/2010,RUMO S.A. UNT,"0,00",Transporte,"0,00",Transporte Ferroviário,0,6.121.070.000,30/09/2024,18.435.000.000,1.854.870.000,"0,00%","-8,79","-1,88","0,00%","0,41","40,40","0,00%","1,20","44,0%","0,00%","0,47","39,0%",,"0,12","-5,3%",,"1,07","10,2%",,"-0,27","12,3%",,"0,0%","-4,6%",,"1,83","1,96",,"3,62","1,30",,"17,2%","0,26",49.813.900.000,19.485.800.000,7.171.910.000,12.313.900.000,11.630.000.000,14.987.400.000,3.752.260.000,1.707.810.000,680.812.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
ALLL3,ALLL3,"3,97",ON,31/03/2015,RUMO S.A. ON,"0,00",Transporte,"0,00",Transporte Ferroviário,0,7.363.830.000,30/09/2024,19.677.700.000,1.854.870.000,"0,00%","-10,58","-0,38","0,00%","0,49","8,08","0,00%","1,44","44,0%","0,00%","0,56","39,0%",,"0,15","-5,3%",,"1,29","10,2%",,"-0,32","12,3%",,"0,0%","-4,6%","0,00%","1,95","1,96","0,00%","3,86","1,30",,"17,2%","0,26",49.813.900.000,19.485.800.000,7.171.910.000,12.313.900.000,11.630.000.000,14.987.400.000,3.752.260.000,1.707.810.000,680.812.000,"0,00%","0,00%","0,00%","-21,54%",,,,,,,,,,,,,,
ALLL4,ALLL4,"3,32",PN,21/10/2010,RUMO S.A. PN,"0,00",Transporte,"0,00",Transporte Ferroviário,0,6.158.160.000,30/09/2024,18.472.100.000,1.854.870.000,"0,00%","-8,85","-0,38","0,00%","0,41","8,08","0,00%","1,21","44,0%","0,00%","0,47","39,0%",,"0,12","-5,3%",,"1,08","10,2%",,"-0,27","12,3%",,"0,0%","-4,6%",,"1,83","1,96",,"3,62","1,30",,"17,2%","0,26",49.813.900.000,19.485.800.000,7.171.910.000,12.313.900.000,11.630.000.000,14.987.400.000,3.752.260.000,1.707.810.000,680.812.000,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,,,
ALOS3,ALOS3,"19,69",ON,29/11/2024,ALLOS ON,"19,19",Exploração de Imóveis,"25,08",Exploração de Imóveis,107.083.000,10.690.400.000,30/09/2024,4.853.270.000,542.937.000,"-0,91%","13,97","1,41","-10,63%","0,77","25,68","-10,67%","8,49","73,0%","-16,50%","3,91","46,1%","-20,62%","0,36","32,0%","60,56%","2,86","4,2%","-19,96%","-1,31","5,3%","-25,11%","7,5%","5,5%","-41,50%","2,58","2,23","94,42%","3,86",-,,"36,4%","0,09",29.622.200.000,0,5.837.160.000,-5.837.160.000,6.761.030.000,13.944.600.000,657.380.000,297.551.000,112.774.000,,,,,,,,,,,,,,,,,,
ALPA3,ALPA3,"6,10",ON N1,29/11/2024,ALPARGATAS ON N1,"6,01","Tecidos, Vestuário e Calçados","10,79",Calçados,54.641,4.166.680.000,30/09/2024,4.121.520.000,683.062.000,"-1,29%","-2,78","-2,20","-4,69%","1,05","5,79","-6,15%","17,67","44,2%","-36,13%","1,04","5,9%","-41,51%","0,63","-37,6%","-12,35%","1,87","3,6%","-61,46%","5,11","5,0%","-18,07%","0,0%","-37,9%","38,38%","8,63","2,78","105,21%","17,48","0,35",,"4,5%","0,60",6.619.180.000,1.374.070.000,1.419.230.000,-45.161.000,3.477.620.000,3.956.050.000,1.037.600.000,102.091.000,57.396.000,,,,,,,,,,,,,,,,,,
ALPA4,ALPA4,"6,30",PN N1,29/11/2024,ALPARGATAS PN N1,"6,23","Tecidos, Vestuário e Calçados","10,32",Calçados,21.854.300,4.303.290.000,30/09/2024,4.258.130.000,683.062.000,"1,12%","-2,87","-2,20","-13,10%","1,09","5,79","-12,50%","18,25","44,2%","-32,76%","1,08","5,9%","-37,75%","0,65","-37,6%","-32,89%","1,93","3,6%","-59,11%","5,28","5,0%","-11,27%","0,0%","-37,9%","26,71%","8,92","2,78","137,15%","18,06","0,35",,"4,5%","0,60",6.619.180.000,1.374.070.000,1.419.230.000,-45.161.000,3.477.620.000,3.956.050.000,1.037.600.000,102.091.000,57.396.000,,,,,,,,,,,,,,,,,,
ALPK3,ALPK3,"2,94",ON NM,29/11/2024,ESTAPAR ON NM,"2,61",Serviços Diversos,"4,93",Serviços Diversos,577.044,638.051.000,30/09/2024,1.883.410.000,217.024.000,"10,11%","-29,80","-0,10","-0,68%","1,79","1,64","-4,85%","1,79","32,2%","-28,64%","0,42","23,4%","-38,49%","0,24","-1,0%","206,41%","-3,07","13,5%","-62,86%","-0,36","16,0%","-54,84%","0,0%","-6,0%","-2,62%","3,15","0,71","0,00%","5,29","4,26",,"25,6%","0,58",2.636.880.000,1.517.050.000,271.687.000,1.245.360.000,512.995.000,356.524.000,399.555.000,51.334.000,1.298.000,,,,,,,,,,,,,,,,,,
ALSC3,ALSC3,"27,75",ON NM,05/08/2019,ALIANSCE ON NM,"18,48",Exploração de Imóveis,"28,35",Exploração de Imóveis,0,5.694.240.000,30/06/2019,5.153.060.000,205.198.000,"0,00%","38,57","0,72","0,00%","2,20","12,64","0,00%","19,33","75,7%","46,59%","10,72","55,5%",,"1,20","29,3%",,"9,41","6,2%",,"-4,22","7,0%",,"1,0%","5,7%","0,00%","14,08","5,39","47,21%","17,49",-,,"2,3%","0,11",4.738.200.000,0,541.181.000,-541.181.000,742.653.000,2.593.960.000,133.372.000,77.253.000,37.311.000,"6,74%","24,81%","36,32%","-30,71%",,,,,,,,,,,,,,
ALSO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALUP11,ALUP11,"27,63",UNT N2,29/11/2024,ALUPAR UNT N2,"26,43",Energia Elétrica,"32,39",Energia Elétrica,25.322.800,8.757.300.000,30/09/2024,17.564.800.000,950.847.000,"1,58%","8,78","3,15","-5,06%","1,08","25,60","-4,93%","3,35","74,6%","4,49%","2,33","69,6%","-4,36%","0,29","45,2%","23,61%","3,01","8,7%","22,80%","-0,73","9,9%","-8,14%","5,0%","12,3%","1,14%","6,30","1,89","50,74%","6,72","1,52",,"-12,5%","0,13",30.003.000.000,12.316.600.000,3.509.100.000,8.807.530.000,6.175.580.000,8.114.360.000,928.567.000,596.565.000,363.754.000,,,,,,,,,,,,,,,,,,
ALUP3,ALUP3,"9,41",ON N2,29/11/2024,ALUPAR ON N2,"8,84",Energia Elétrica,"11,15",Energia Elétrica,69.710,8.947.470.000,30/09/2024,17.755.000.000,950.847.000,"1,07%","8,98","1,05","-5,13%","1,10","8,53","-4,46%","3,42","74,6%","6,40%","2,38","69,6%","-1,95%","0,30","45,2%","26,32%","3,07","8,7%","18,65%","-0,74","9,9%","-6,68%","4,9%","12,3%","-21,06%","6,37","1,89","58,77%","6,79","1,52",,"-12,5%","0,13",30.003.000.000,12.316.600.000,3.509.100.000,8.807.530.000,6.175.580.000,8.114.360.000,928.567.000,596.565.000,363.754.000,,,,,,,,,,,,,,,,,,
