Ticker,Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2024,P/Ativos,Marg. Líquida,2023,P/Cap. Giro,EBIT / Ativo,2022,P/Ativ Circ Liq,ROIC,2021,Div. Yield,ROE,2020,EV / EBITDA,Liquidez Corr,2019,EV / EBIT,Div Br/ Patrim,,Cres. Rec (5a),Giro Ativos,Ativo,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida,EBIT,Lucro Líquido,2018,2017,2016,2015,2014,2013,Depósitos,Cart. de Crédito,Result Int Financ,Rec Serviços,1,-1,-2,-3,-4,2012,2011,2010
BRIN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIT3,BRIT3,"3,06",ON NM,04/12/2024,BRISANET ON NM,"2,78",Telecomunicações,"4,75",Telecomunicações,867.990,1.374.230.000,30/09/2024,2.405.820.000,449.095.000,"0,00%","11,85","0,26","-0,65%","0,88","3,47","-7,27%","7,18","42,4%","-2,16%","1,00","14,0%","-15,61%","0,34","8,5%","37,94%","3,39","4,7%","-45,07%","-1,03","6,5%","-64,32%","2,8%","7,4%","0,00%","4,16","1,54","0,00%","12,58","1,25",,"22,6%","0,34",4.057.690.000,1.949.240.000,917.651.000,1.031.590.000,1.161.300.000,1.557.890.000,364.686.000,44.454.000,15.917.000,,,,,,,,,,,,,,,,,,
BRIV3,BRIV3,"12,86",ON,26/03/2024,ALFA DE INVESTIMENTO ON,"10,36",Intermediários Financeiros,"13,15",Bancos,0,1.139.410.000,31/12/2023,-,88.601.000,"0,00%","71,86","0,18","0,00%","0,68","18,87","0,00%",-,-,"21,90%",-,-,"18,53%",-,"0,0%","17,84%",-,"0,0%","29,07%",-,-,"-17,87%","0,0%","0,9%","3,83%",-,-,"66,92%",-,-,,"-44,7%",-,28.659.800.000,,,,,1.671.490.000,,,-30.485.000,,,,,,,0,0,-69.248.000,16.698.000,,,,,,,,
BRIV4,BRIV4,"12,54",PN,28/03/2024,ALFA DE INVESTIMENTO PN,"10,09",Intermediários Financeiros,"12,99",Bancos,0,1.111.060.000,31/12/2023,-,88.601.000,"0,00%","70,08","0,18","0,00%","0,66","18,87","0,00%",-,-,"21,97%",-,-,"19,26%",-,"0,0%","22,58%",-,"0,0%","36,61%",-,-,"-14,57%","2,6%","0,9%","8,39%",-,-,"49,08%",-,-,,"-44,7%",-,28.659.800.000,,,,,1.671.490.000,,,-30.485.000,,,,,,,0,0,-69.248.000,16.698.000,,,,,,,,
BRKM3,BRKM3,"15,12",ON N1,10/12/2024,BRASKEM ON N1,"14,41",Químicos,"26,66",Petroquímicos,449.934,12.053.800.000,30/09/2024,42.469.800.000,797.208.000,"0,80%","-1,56","-9,70","-0,92%","-482,15","-0,03","-4,24%","12,49","7,8%","-17,15%","0,16","1,3%","-30,29%","0,13","-11,2%","-14,17%","1,60","1,0%","-53,66%","-0,20","1,5%","154,61%","0,0%","30.942,6%","-20,04%","6,89","1,28","-29,28%","44,00","-1.790,12",,"4,5%","0,81",92.650.000.000,44.753.000.000,14.337.000.000,30.416.000.000,34.266.000.000,-24.999.900,21.264.000.000,969.000.000,-1.081.000.000,,,,,,,,,,,,,,,,,,
BRKM5,BRKM5,"15,21",PNA N1,10/12/2024,BRASKEM PNA N1,"14,35",Químicos,"27,42",Petroquímicos,51.847.900,12.125.500.000,30/09/2024,42.541.500.000,797.208.000,"3,40%","-1,57","-9,70","1,40%","-485,02","-0,03","-3,43%","12,56","7,8%","-13,73%","0,16","1,3%","-30,42%","0,13","-11,2%","-8,00%","1,61","1,0%","-57,11%","-0,20","1,5%","176,31%","0,0%","30.942,6%","-21,04%","6,90","1,28","-36,48%","44,08","-1.790,12",,"4,5%","0,81",92.650.000.000,44.753.000.000,14.337.000.000,30.416.000.000,34.266.000.000,-24.999.900,21.264.000.000,969.000.000,-1.081.000.000,,,,,,,,,,,,,,,,,,
BRKM6,BRKM6,"9,70",PNB N1,10/12/2024,BRASKEM PNB N1,"9,01",Químicos,"16,00",Petroquímicos,1.436,7.732.920.000,30/09/2024,38.148.900.000,797.208.000,"4,86%","-1,00","-9,70","7,66%","-309,32","-0,03","-12,06%","8,01","7,8%","-35,33%","0,10","1,3%","-37,46%","0,08","-11,2%","-39,18%","1,03","1,0%","-23,64%","-0,13","1,5%","88,05%","0,0%","30.942,6%","-24,67%","6,19","1,28","-48,75%","39,53","-1.790,12",,"4,5%","0,81",92.650.000.000,44.753.000.000,14.337.000.000,30.416.000.000,34.266.000.000,-24.999.900,21.264.000.000,969.000.000,-1.081.000.000,,,,,,,,,,,,,,,,,,
BRML3,BRML3,"8,26",ON,06/01/2023,BR MALLS PARTICIPAÇÔES S/A ON,"0,00",Exploração de Imóveis,"0,00",Exploração de Imóveis,0,6.770.890.000,30/09/2024,7.917.090.000,819.721.000,"0,00%","2,60","3,18","0,00%","0,51","16,10","0,00%","6,65","89,2%","0,00%","4,34","65,2%","0,00%","0,30","168,7%","-0,48%","3,00","4,5%","0,45%","-1,26","5,4%","-16,06%","0,0%","19,7%","-45,12%","7,11","2,51","47,31%","7,77","0,34",,"12,5%","0,07",22.439.500.000,4.548.740.000,3.402.540.000,1.146.200.000,3.758.630.000,13.197.500.000,378.915.000,243.010.000,127.380.000,,,,,,,,,,,,,,,,,,
BRPR3,BRPR3,"131,17",ON NM,19/10/2023,BR PROPERTIES ON NM,"128,00",Exploração de Imóveis,"900,00",Exploração de Imóveis,0,60.862.900,30/09/2023,-18.606.100,464.000,"0,00%","-0,57","-228,82","0,00%","0,05","2.450,23","0,00%","12,11","100,0%","-63,42%","0,70","5,7%","0,00%","0,04","-124,0%","50,79%","1,73","0,3%","27,56%","-0,49","0,4%","-24,52%","1.202,9%","-9,3%","-30,95%","-2,55","1,12","76,59%","-3,70","0,07",,"-25,1%","0,06",1.582.210.000,82.200.000,161.669.000,-79.469.000,320.900.000,1.136.910.000,13.951.000,-2.779.000,8.046.000,,,,,,,,,,,,,,,,,,
BRSR3,BRSR3,"11,77",ON,10/12/2024,BANRISUL S/A ON,"10,92",Intermediários Financeiros,"14,38",Bancos,87.627,4.813.620.000,30/09/2024,-,408.974.000,"-0,68%","5,15","2,29","-0,69%","0,47","25,07","-1,83%",-,-,"-2,90%",-,-,"-10,19%",-,"0,0%","37,75%",-,"0,0%","-3,77%",-,-,"-19,77%","6,7%","9,1%","-29,62%",-,-,"7,38%",-,-,,"7,6%",-,141.540.000.000,,,,,10.254.100.000,,,197.103.000,,,,,,,0,0,1.481.430.000,251.035.000,,,,,,,,
