Ticker,Valor atual,Min. 52 semanas,Máx. 52 semanas,Dividend Yield,Valorização (12m),Tipo,PART. IBOV,MERCADO DE OPÇÕES,TOMADOR (média),DOADOR (média),Nº DE AÇÕES ALUGADAS (dia),VOLUME (dia),Nº DE CONTRATOS,,Ano passado,Ano atual,Comparação,Provisionado,Comparação + Provisionado,Ativos,Ativo circulante,Dívida bruta,Disponibilidade,Dívida líquida,Valor de mercado,Valor de firma,Segmento de listagem,Free Float,Setor de Atuação,Subsetor de Atuação,Segmento de Atuação,Investidores,Institucional,Pessoa jurídica,Pessoa física,{helper},UNIT - Composição
tots3,"26,93","26,27","34,35","1,63","-19,40%",ON,"0,726",98,"0,18","0,18",3.038.577,88.209.890,218,4.802.606.000,"0,2300","0,2300","0,00%","0,0000","0,00%",8.780.352.000,3.058.506.000,1.625.842.000,2.154.825.000,-528.983.000,16.141.884.576,15.612.901.576,Novo Mercado,"90,12%",Tecnologia da Informação,Programas e Serviços,Programas e Serviços,48.262,1.405,331,46.526,-,
toyb3,"2,29",-,-,-,-%,ON,"0,000",0,"5,00","3,00",10,23,1,2.312.281.000,,,%,,%,49.960.107.000,201.195.000,-,201.195.000,-,71.890.222,71.890.222,,--%,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos,2.450,3,28,2.419,-,
toyb4,"2,50",-,-,-,-%,PN,"0,000",0,"0,00","0,00",0,0,0,2.312.281.000,,,%,,%,49.960.107.000,201.195.000,-,201.195.000,-,71.890.222,71.890.222,,--%,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos,2.450,3,28,2.419,-,
tpis3,"5,79","3,63","7,07",-,"42,96%",ON,"0,000",0,"6,28","6,28",3.487,13.530,4,928.523.000,"0,0000","0,0000","0,00%","0,0000","0,00%",2.805.696.000,189.345.000,1.437.011.000,62.987.000,1.374.024.000,254.760.000,1.628.784.000,Novo Mercado,"42,12%",Bens Industriais,Transporte,Exploração de Rodovias,15.657,26,37,15.594,-,
trad3,"6,00","2,43","8,19",-,"-8,81%",ON,"0,000",1,"11,56","11,56",143.827,113.623,72,232.152.000,"0,0000","0,0000","0,00%","0,0000","0,00%",256.090.000,89.248.000,2.943.000,52.013.000,-49.070.000,240.126.114,191.056.114,Novo Mercado,"25,68%",Tecnologia da Informação,Programas e Serviços,Programas e Serviços,7.712,64,80,7.568,-,
tris3,"5,12","4,27","5,93","3,86","-9,22%",ON,"0,000",41,"0,57","0,57",121.126,694.052,45,1.434.587.000,"0,1373","0,1977","44,00%","0,0000","44,00%",2.762.600.000,2.112.013.000,929.932.000,381.850.000,548.082.000,955.481.795,1.503.563.795,Novo Mercado,"38,31%",Consumo Cíclico,Construção Civil,Incorporações,62.136,0,356,61.780,-,
trpl3,"30,75","29,89","38,09","7,04","0,16%",ON,"0,000",0,"5,00","5,00",98,3.266,1,20.228.226.000,"0,0000","0,0000","0,00%","0,0000","0,00%",40.648.205.000,6.615.500.000,11.542.464.000,2.511.936.000,9.030.528.000,17.531.757.055,26.562.285.055,Nível 1,"64,18%",Utilidade Pública,Energia Elétrica,Energia Elétrica,222.549,1.321,963,220.265,-,
trpl4,"24,28","22,38","27,75","9,34","4,25%",PN,"0,459",109,"6,59","6,59",4.487.501,112.815.775,680,20.228.226.000,"0,0000","0,0000","0,00%","0,0000","0,00%",40.648.205.000,6.615.500.000,11.542.464.000,2.511.936.000,9.030.528.000,17.531.757.055,26.562.285.055,Nível 1,"64,18%",Utilidade Pública,Energia Elétrica,Energia Elétrica,222.549,1.321,963,220.265,-,
trpn3,"0,71",-,-,-,-%,ON,"0,000",0,"0,00","0,00",0,0,0,59.358.000,"0,0000","0,0000","0,00%","0,0000","0,00%",80.698.000,75.453.000,0,63.450.000,-63.450.000,-,-,,--%,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,2.675,12,13,2.650,-,
tten3,"13,43","9,20","14,72","0,88","21,43%",ON,"0,000",17,"0,76","0,76",165.423,1.738.596,45,3.920.102.000,"0,1152","0,1177","2,16%","0,0000","2,16%",8.538.809.000,5.873.922.000,1.970.577.000,1.645.917.000,324.660.000,6.692.137.399,7.016.797.399,Novo Mercado,"22,52%",Consumo não Cíclico,Agropecuária,Agricultura,16.985,501,574,15.910,-,
tupy3,"20,41","20,41","28,85","2,00","-20,65%",ON,"0,000",35,"0,28","0,28",55.650,1.530.375,27,3.708.660.000,"1,0044","0,4086","59,32%","0,0000","59,32%",11.316.001.000,7.192.844.000,4.510.233.000,2.167.915.000,2.342.318.000,2.942.662.775,5.284.980.775,Novo Mercado,"99,68%",Bens Industriais,Material de Transporte,Material Rodoviário,38.201,185,465,37.551,-,
txrx3,"9,29","0,00","12,00",-,"121,19%",ON,"0,000",0,"5,00","5,00",4,0,1,-314.889.000,"0,0000","0,0000","0,00%","0,0000","0,00%",189.954.000,78.583.000,303.265.000,258.000,303.007.000,19.697.733,322.704.733,,"44,73%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,1.413,1,34,1.378,-,
txrx4,"2,20","2,15","4,01",-,"-24,14%",PN,"0,000",0,"5,00","5,00",10,38,1,-314.889.000,"0,0000","0,0000","0,00%","0,0000","0,00%",189.954.000,78.583.000,303.265.000,258.000,303.007.000,19.697.733,322.704.733,,"44,73%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,1.413,1,34,1.378,-,
ucas3,"2,05","2,05","3,02","9,80","-24,91%",ON,"0,000",0,"10,00","10,00",220,594,1,197.070.000,"0,0000","0,0000","0,00%","0,0000","0,00%",357.748.000,105.762.000,76.665.000,37.949.000,38.716.000,135.477.046,174.193.046,Novo Mercado,"43,14%",Consumo Cíclico,Utilidades Domésticas,Móveis,7.401,10,56,7.335,-,
ugpa3,"17,16","17,16","30,33","1,46","-31,28%",ON,"0,910",127,"0,08","0,08",2.536.205,71.343.447,199,14.703.834.000,"0,3500","0,2500","28,57%","0,0000","28,57%",39.321.790.000,16.166.104.000,15.337.276.000,4.232.771.000,11.104.505.000,19.140.337.239,30.244.842.239,Novo Mercado,"97,73%",Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,37.346,1.522,829,34.995,-,
unip3,"49,00","44,15","63,88","10,73","-17,19%",ON,"0,000",0,"5,27","5,27",102,6.393,1,2.762.977.000,"1,7426","3,8386","120,28%","0,0000","120,28%",7.582.968.000,3.633.307.000,2.782.982.000,2.303.431.000,479.551.000,5.583.287.810,6.062.838.810,,"55,08%",Materiais Básicos,Químicos,Químicos Diversos,38.767,215,550,38.002,-,
unip5,"53,50","46,21","70,33","12,84","-21,39%",PNA,"0,000",0,"5,00","5,00",325,22.321,1,2.762.977.000,"1,9845","5,3053","167,34%","0,0000","167,34%",7.582.968.000,3.633.307.000,2.782.982.000,2.303.431.000,479.551.000,5.583.287.810,6.062.838.810,,"55,08%",Materiais Básicos,Químicos,Químicos Diversos,38.767,215,550,38.002,-,
unip6,"49,51","44,14","68,30","11,69","-24,38%",PNB,"0,000",27,"0,06","0,06",16.793,1.136.886,29,2.762.977.000,"1,9168","4,2225","120,28%","0,0000","120,28%",7.582.968.000,3.633.307.000,2.782.982.000,2.303.431.000,479.551.000,5.583.287.810,6.062.838.810,,"55,08%",Materiais Básicos,Químicos,Químicos Diversos,38.767,215,550,38.002,-,
usim3,"6,01","5,53","10,51","4,28","-22,75%",ON,"0,000",0,"2,39","2,39",28.879,273.484,16,23.848.243.000,"0,2989","0,2573","13,90%","0,0000","13,90%",39.432.125.000,17.006.026.000,6.415.455.000,5.898.533.000,516.922.000,7.591.265.466,8.108.187.466,Nível 1,"53,97%",Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,133.090,421,1.604,131.065,-,
usim5,"6,12","5,60","10,69","4,63","-22,92%",PNA,"0,153",284,"0,47","0,47",2.121.214,21.296.989,269,23.848.243.000,"0,3288","0,2831","13,90%","0,0000","13,90%",39.432.125.000,17.006.026.000,6.415.455.000,5.898.533.000,516.922.000,7.591.265.466,8.108.187.466,Nível 1,"53,97%",Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,133.090,421,1.604,131.065,-,
usim6,"13,74","9,88","16,64","2,06","-12,32%",PNB,"0,000",0,"5,00","5,00",100,0,1,23.848.243.000,"0,3288","0,2831","13,90%","0,0000","13,90%",39.432.125.000,17.006.026.000,6.415.455.000,5.898.533.000,516.922.000,7.591.265.466,8.108.187.466,Nível 1,"53,97%",Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,133.090,421,1.604,131.065,-,
vale3,"58,61","56,00","71,47","8,24","-15,62%",ON,"11,999",931,"0,06","0,06",6.890.736,417.578.602,609,216.276.000.000,"6,0778","4,8323","20,49%","0,0000","20,49%",484.258.000.000,75.183.000.000,77.281.000.000,25.329.000.000,51.952.000.000,266.031.234.264,317.983.234.264,Novo Mercado,"94,09%",Materiais Básicos,Mineração,Minerais Metálicos,527.087,2.342,13.871,510.874,-,
vamo3,"5,69","5,51","10,07","5,61","-37,75%",ON,"0,137",89,"1,36","1,36",5.581.941,46.106.833,344,5.199.352.000,"0,0173","0,0000","100,00%","0,0000","100,00%",24.892.026.000,8.007.900.000,15.195.152.000,4.163.016.000,11.032.136.000,6.151.075.136,17.183.211.136,Novo Mercado,"44,88%",Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,1.715,1.207,501,7,-,
variacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vbbr3,"20,16","19,63","26,28","8,49","-10,56%",ON,"1,018",182,"0,02","0,02",977.007,24.776.898,80,20.424.000.000,"0,4291","1,3082","204,87%","0,0000","204,87%",47.532.000.000,24.466.000.000,17.086.000.000,7.589.000.000,9.497.000.000,22.559.040.000,32.056.040.000,Novo Mercado,"91,46%",Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,71.180,1.151,433,69.596,-,
viia3,"0,75","0,73","3,93",-,"-76,64%",ON,"0,000",320,"2,34","2,34",4.221.043,26.508.150,10.529,3.242.000.000,"0,0000","0,0000","0,00%","0,0000","0,00%",31.176.000.000,12.733.000.000,8.817.000.000,1.858.000.000,6.959.000.000,341.362.319,7.300.362.319,Novo Mercado,"99,87%",Consumo Cíclico,Comércio,Eletrodomésticos,454.483,857,2.122,451.504,-,
vitt3,"5,04","5,04","9,46","2,94","-44,62%",ON,"0,000",0,"5,50","5,50",10.153,69.751,3,611.392.000,"0,2747","0,1484","45,99%","0,0239","37,29%",903.229.000,547.717.000,197.998.000,59.885.000,138.113.000,757.582.651,895.695.651,Novo Mercado,"33,15%",Materiais Básicos,Químicos,Fertilizantes e Defensivos,3.580,169,183,3.228,-,
viva3,"21,94","19,83","35,02","1,70","-25,68%",ON,"0,136",119,"1,95","1,95",1.495.845,38.278.674,144,2.174.012.199,"0,3633","0,3728","2,64%","0,0000","2,64%",3.444.075.468,2.120.319.930,233.638.035,341.860.268,-108.222.233,5.182.179.052,5.073.956.819,Novo Mercado,"53,11%",Consumo Cíclico,Tecidos. Vestuário e Calçados,Acessórios,37.542,686,42,36.814,-,
vivr3,"1,33","1,27","5,71",-,"-69,77%",ON,"0,000",0,"4,29","4,29",9.900,30.987,4,91.686.000,,,%,,%,293.705.000,138.486.000,39.102.000,10.271.000,28.831.000,51.026.889,79.857.889,Novo Mercado,"100,00%",Consumo Cíclico,Construção Civil,Incorporações,37.180,17,86,37.077,-,
vivt3,"48,81","42,74","56,09","3,43","-4,18%",ON,"0,981",146,"0,05","0,05",829.657,41.806.416,281,69.086.211.000,"1,5441","1,1576","25,03%","0,0000","25,03%",124.088.797.000,23.839.778.000,18.879.978.000,7.354.965.000,11.525.013.000,80.662.837.852,92.187.850.852,,"24,64%",Comunicações,Telecomunicações,Telecomunicações,1.719.700,4.700,254.123,1.460.877,-,
