Empresa,Ticker,Cotação,EV/EBIT,Margem EBIT,Volume Diário,Situação
QUALICORP,QUAL3,26.91,13.55,30.07,79720496.97,[]
RAIA DROGASIL,RADL3,25.88,47.52,4.56,135720062.87,[]
RUMO,RAIL3,20.95,26.16,27.97,166515094.57,[]
Irani Papel e Embalagem S.A.,RANI3,7.96,10.44,18.84,22455652.07,[]
RANDON,RAPT3,12.33,5.79,18.92,266289.33,[]
RANDON,RAPT4,14.37,5.79,18.92,40249497.73,[]
RECRUSUL,RCSL3,7.86,421.22,2.32,16883710.47,[]
RECRUSUL,RCSL4,1.65,421.22,2.32,5661288.6,[]
RNI NEGÓCIOS IMOBILIÁRIOS,RDNI3,10.81,20.19,11.61,694591.5,[]
REDE D OR SÃO LUIZ S.A.,RDOR3,73.7,94.39,11.67,126322037.07,[]
REDE ENERGIA,REDE3,8.84,13.04,16.20,333792.17,[]
LOCALIZA,RENT3,58.79,24.82,20.13,305644152.1,[]
RENOVA,RNEW11,13.1,-668.20,-3.93,0.0,['RECUPERAÇÃO JUDICIAL']
RENOVA,RNEW3,4.56,-668.20,-3.93,102777.53,['RECUPERAÇÃO JUDICIAL']
RENOVA,RNEW4,4.36,-668.20,-3.93,193389.0,['RECUPERAÇÃO JUDICIAL']
INDÚSTRIAS ROMI,ROMI3,27.24,17.84,12.38,50825844.8,[]
REFINARIA DE PETROLEOS MANGUINHOS,RPMG3,4.68,-0.82,-25.80,2202121.8,['RECUPERAÇÃO JUDICIAL']
3R PETROLEUM ÓLEO E GÁS S.A,RRRP3,38.0,-28.76,-84.38,63698440.97,[]
ROSSI RESIDENCIAL,RSID3,11.94,-2.72,-499.55,1608827.03,[]
METALURGICA RIOSULENSE,RSUL4,203.94,0.84,32.26,20447.0,[]
SANEPAR,SAPR11,20.75,5.76,32.72,0.0,[]
SANEPAR,SAPR3,4.1,5.76,32.72,2807687.03,[]
SANEPAR,SAPR4,4.13,5.76,32.72,18382411.8,[]
CENTAURO,SBFG3,27.62,-109.47,-3.02,24509456.0,[]
SABESP,SBSP3,42.25,9.42,25.24,132920400.3,[]
SÃO CARLOS,SCAR3,39.15,14.63,64.47,330773.63,[]
SER EDUCACIONAL,SEER3,14.09,5.50,25.05,8791964.9,[]
SEQUOIA LOGISTICA E TRANSPORTES S.A,SEQL3,23.56,89.58,3.48,27552885.27,[]
SPRINGS,SGPS3,11.37,27.53,3.20,1727858.0,[]
TIME FOR FUN,SHOW3,5.94,-4.31,-199.18,4742438.03,[]
SCHULZ,SHUL4,10.52,9.19,13.67,5703445.03,[]
SIMPAR S.A.,SIMH3,45.4,14.68,14.96,26027251.27,[]
SLC AGRICOLA,SLCE3,50.31,13.32,20.16,74966571.07,[]
SARAIVA,SLED3,1.02,-0.77,-155.25,1218947.87,['RECUPERAÇÃO JUDICIAL']
SARAIVA,SLED4,0.57,-0.77,-155.25,1569701.33,['RECUPERAÇÃO JUDICIAL']
SMILES,SMLS3,21.88,10.84,34.48,21201448.23,[]
SÃO MARTINHO,SMTO3,32.12,10.52,35.23,34183722.6,[]
SANSUY,SNSY3,17.0,-3.81,-9.89,24647.64,[]
SANSUY,SNSY5,6.56,-3.81,-9.89,187431.73,[]
GRUPO DE MODA SOMA S.A.,SOMA3,13.2,-72.27,-6.82,50740430.93,[]
SONDOTECNICA,SOND3,40.2,4.02,28.87,13660.0,[]
SONDOTECNICA,SOND5,52.74,4.02,28.87,20370.91,[]
SONDOTECNICA,SOND6,49.48,4.02,28.87,16576.0,[]
SINQIA,SQIA3,21.56,112.90,5.62,12628528.77,[]
SANTOS BRASIL,STBP3,7.98,52.32,11.70,51966674.0,[]
SUZANO S.A.,SUZB3,65.15,18.07,27.72,459746010.0,[]
TAESA,TAEE11,40.11,5.52,92.32,0.325,[]
TAESA,TAEE3,13.42,5.52,92.32,1489210.23,[]
TAESA,TAEE4,13.41,5.52,92.32,3605490.1,[]
TAURUS ARMAS,TASA3,23.78,5.16,27.80,2449229.0,[]
TAURUS ARMAS,TASA4,23.14,5.16,27.80,56926296.67,[]
TECNOSOLO,TCNO3,2.52,-56.50,-,384980.3,['RECUPERAÇÃO JUDICIAL']
TECNOSOLO,TCNO4,1.97,-56.50,-,649087.8,['RECUPERAÇÃO JUDICIAL']
TECNISA,TCSA3,7.95,-6.04,-78.92,11791552.17,[]
TECHNOS,TECN3,2.43,-26.25,-3.93,8478909.5,[]
