Empresa,Ticker,Cotação,EV/EBIT,Margem EBIT,Volume Diário,Situação
SANTANENSE,CTSA3,2.52,28.28,3.61,121846.76,[]
SANTANENSE,CTSA4,2.05,28.28,3.61,92054.79,[]
CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,9.08,64.16,34.37,11715595.34,[]
CVC BRASIL,CVCB3,24.37,-7.47,-181.31,140922024.37,[]
CYRELA,CYRE3,23.19,4.27,58.05,134765737.26,[]
DASA,DASA3,57.65,176.91,2.55,22546120.32,[]
DIRECIONAL ENGENHARIA,DIRR3,12.87,8.24,15.49,19080474.58,[]
DOMMO ENERGIA,DMMO3,0.87,2.21,41.09,6895029.18,[]
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,DMVF3,9.3,6.145.72,0.01,2493225.71,[]
DOHLER,DOHL3,28.75,18.44,15.62,17180.92,[]
DOHLER,DOHL4,6.3,18.44,15.62,184689.97,[]
DTCOM,DTCY3,9.73,-262.72,-4.06,98370.92,[]
DURATEX,DTEX3,21.26,19.84,12.88,49133339.76,[]
ELECTRO ACO ALTONA,EALT3,15.05,8.41,12.86,38435.82,[]
ELECTRO ACO ALTONA,EALT4,6.18,8.41,12.86,485935.89,[]
ECORODOVIAS,ECOR3,12.39,15.81,21.84,53728600.95,[]
CEEE-GT,EEEL3,520.0,8.81,42.80,76000.0,[]
CEEE-GT,EEEL4,592.63,8.81,42.80,60000.0,[]
ENGIE BRASIL,EGIE3,40.66,7.89,46.31,61969363.76,[]
ELEKTRO,EKTR3,33.05,8.73,14.52,7753.86,[]
ELEKTRO,EKTR4,25.06,8.73,14.52,73973.93,[]
ELETROBRAS,ELET3,43.02,9.97,31.95,263870506.68,[]
ELETROBRAS,ELET5,64.0,9.97,31.95,51404.58,[]
ELETROBRAS,ELET6,42.93,9.97,31.95,115100285.21,[]
ELETROMIDIA S.A.,ELMD3,18.25,-23.93,-47.08,3960940.61,[]
EMAE - EMPRESA METROP.AGUAS ENERGIA,EMAE4,86.0,12.09,36.45,436542.32,[]
EMBRAER,EMBR3,16.85,-12.57,-8.38,173104109.16,[]
ENAUTA PARTICIPAÇÕES,ENAT3,15.61,10.18,36.62,28892309.24,[]
EDP Brasil,ENBR3,19.03,5.72,20.92,66090544.61,[]
ENEVA,ENEV3,17.25,24.51,33.93,107152876.71,[]
ENERGISA,ENGI11,46.21,9.97,15.04,0.526,[]
ENERGISA,ENGI3,17.47,9.97,15.04,294461.13,[]
ENERGISA,ENGI4,7.27,9.97,15.04,354958.79,[]
ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.,ENJU3,10.45,-25.00,-71.60,23696041.24,[]
ENERGISA MATO GROSSO,ENMT3,57.5,13.02,22.34,75850.82,[]
ENERGISA MATO GROSSO,ENMT4,58.5,13.02,22.34,41257.65,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA3,4.77,10.19,19.46,276542.18,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA5,5.56,10.19,19.46,25618.88,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA6,10.48,10.19,19.46,1068.0,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA7,5.38,10.19,19.46,19962.83,[]
EQUATORIAL ENERGIA,EQTL3,25.52,7.77,26.03,169999561.18,[]
MPM CORPÓREOS S.A.,ESPA3,17.7,50.61,16.41,20416067.74,[]
ESTRELA,ESTR4,36.01,5.53,9.71,55122.4,[]
ETERNIT,ETER3,33.9,5.82,32.79,86472686.0,['RECUPERAÇÃO JUDICIAL']
EUCATEX,EUCA3,22.49,7.59,12.10,295772.5,[]
EUCATEX,EUCA4,10.9,7.59,12.10,4652051.55,[]
EVEN CONSTRUTORA E INCORPORADORA,EVEN3,10.11,3.34,17.09,14742444.29,[]
EZ TEC,EZTC3,30.25,22.77,28.91,73847484.55,[]
FERBASA,FESA3,57.42,11.12,20.50,70553.25,[]
FERBASA,FESA4,36.61,11.12,20.50,18342222.82,[]
FERTILIZANTES HERINGER,FHER3,22.7,4.88,9.95,31546998.26,['RECUPERAÇÃO JUDICIAL']
FLEURY,FLRY3,26.63,17.74,18.04,47250520.55,[]
FRAS-LE,FRAS3,11.28,9.41,16.16,3069303.39,[]
METALFRIO SOLUTIONS,FRIO3,70.99,16.69,4.39,141813.43,[]
POMIFRUTAS,FRTA3,7.56,67.71,9.56,473880.53,['RECUPERAÇÃO JUDICIAL']
RIO PARANAPANEMA,GEPA3,36.61,3.60,95.97,12680.56,[]
RIO PARANAPANEMA,GEPA4,36.88,3.60,95.97,34819.11,[]
GAFISA,GFSA3,4.19,84.71,2.27,21267533.08,[]
GERDAU,GGBR3,27.37,7.68,16.26,4919408.47,[]
GERDAU,GGBR4,32.41,7.68,16.26,500583184.29,[]
GRUPO MATEUS S.A.,GMAT3,7.9,18.53,6.80,34770425.32,[]
NOTRE DAME INTERMEDICA,GNDI3,86.82,48.23,10.12,323549857.55,[]
METALURGICA GERDAU,GOAU3,13.72,3.00,16.23,1243955.61,[]
METALURGICA GERDAU,GOAU4,14.59,3.00,16.23,150364533.05,[]
GOL,GOLL4,27.47,-38.27,-52.17,163786397.84,[]
CELGPAR,GPAR3,58.5,18.26,109.84,17965.5,[]
GPC PARTICIPAÇÕES,GPCP3,37.71,5.89,19.28,7451631.5,[]
GPC PARTICIPAÇÕES,GPCP4,30.0,5.89,19.28,143545.72,[]
GRENDENE,GRND3,9.23,18.44,17.84,19683442.34,[]
GENERAL SHOPPING,GSHP3,44.24,119.81,16.85,78228.38,[]
GUARARAPES CONFECÇÕES,GUAR3,18.7,-101.81,-1.75,17125253.55,[]
HAGA S/A,HAGA3,3.55,3.48,27.46,87578.45,[]
HAGA S/A,HAGA4,2.84,3.48,27.46,809600.68,[]
HAPVIDA,HAPV3,15.73,49.81,13.71,166037693.42,[]
HELBOR,HBOR3,8.55,25.33,8.60,18284770.13,[]
HBR REALTY EMPREENDIMENTOS IMOBILIARIOS,HBRE3,15.78,31.16,78.41,2433450.03,[]
HIDROVIAS DO BRASIL S.A.,HBSA3,6.65,37.11,15.99,33559477.08,[]
HABITASUL,HBTS5,31.22,8.15,44.36,59431.05,[]
HERCULES,HETA4,9.81,-1.91,-10.956.88,77828.08,[]
CIA HERING,HGTX3,30.4,55.43,7.87,128918237.21,[]
HOTEIS OTHON S.A.,HOOT4,2.77,-0.37,-272.05,43680.11,['RECUPERAÇÃO JUDICIAL']
HYPERA,HYPE3,35.16,19.02,32.20,98880230.87,[]
IGB ELETRÔNICA,IGBR3,13.42,-27.65,-655.78,920418.84,['RECUPERAÇÃO JUDICIAL']
IGUATEMI EMPRESA DE SHOPPING CENTERS,IGTA3,43.36,26.57,52.11,95167299.26,[]
INEPAR,INEP3,53.98,-3.87,-4.232.60,1612199.95,['RECUPERAÇÃO JUDICIAL']
INEPAR,INEP4,58.0,-3.87,-4.232.60,2286517.05,['RECUPERAÇÃO JUDICIAL']
INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,INTB3,27.12,19.58,17.62,36979556.66,[]
JALLES MACHADO S.A.,JALL3,8.68,9.75,40.67,6071621.21,[]
JB DUARTE,JBDU3,3.7,-3.50,-,393142.74,[]
JB DUARTE,JBDU4,2.99,-3.50,-,690856.66,[]
JBS,JBSS3,30.4,5.84,7.91,430830208.66,[]
JHSF,JHSF3,7.52,5.81,69.99,40081925.11,[]
JOSAPAR,JOPA3,30.0,6.47,7.11,14527.29,[]
JOSAPAR,JOPA4,73.93,6.47,7.11,23537.5,[]
JEREISSATI,JPSA3,29.01,13.44,48.64,8346502.16,[]
JSL S.A.,JSLG3,10.68,20.30,17.87,4251191.66,[]
KEPLER WEBER,KEPL3,50.31,11.50,12.34,11051841.47,[]
KLABIN,KLBN11,25.94,15.59,25.45,1.075,[]
KLABIN,KLBN3,5.66,15.59,25.45,1637424.87,[]
KLABIN,KLBN4,5.1,15.59,25.45,8304873.45,[]
LOJAS AMERICANAS,LAME3,18.09,30.72,5.44,79655534.89,[]
LOJAS AMERICANAS,LAME4,19.36,30.72,5.44,255162971.08,[]
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,7.7,6.88,31.04,11925773.53,[]
LOCAMERICA,LCAM3,27.16,17.79,17.05,61488572.74,[]
MAHLE-METAL LEVE,LEVE3,27.08,11.29,11.29,17940585.61,[]
LIGHT,LIGT3,17.48,6.95,12.79,37111021.61,[]
LINX,LINX3,37.41,-159.34,-4.79,16894079.47,[]
ELETROPAR,LIPR3,71.0,35.27,-,91280.17,[]
LOJAS QUERO-QUERO S/A,LJQQ3,20.65,22.20,10.09,28215786.79,[]
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS,LLIS3,3.96,-3.23,-102.79,2410153.5,[]
LOG COMMERCIAL PROPERTIES,LOGG3,29.5,9.61,254.89,10796209.95,[]
LOG-IN LOGÍSTICA INTERMODAL,LOGN3,18.61,13.78,17.68,17799672.26,[]
LOPES BRASIL,LPSB3,3.84,8.83,26.03,4543737.66,[]
LOJAS RENNER,LREN3,45.97,49.34,11.37,430567744.37,[]
LUPATECH,LUPA3,8.08,-517.86,-1.10,31632343.05,['RECUPERAÇÃO JUDICIAL']
TREVISA,LUXM4,73.91,14.19,14.34,50140.79,[]
LOCAWEB SERVIÇOS DE INTERNET S.A.,LWSA3,25.7,309.45,7.58,224156729.08,[]
CEMEPE,MAPT3,37.0,-231.32,-,14800.0,[]
CEMEPE,MAPT4,40.0,-231.32,-,23320.75,[]
Mobly S.A.,MBLY3,16.77,-35.37,-5.46,3796795.05,[]
M.DIAS BRANCO,MDIA3,27.52,18.47,7.44,42639222.76,[]
MOURA DUBEUX ENGENHARIA S/A,MDNE3,8.42,-14.44,-8.39,3342639.13,[]
INTERNATIONAL MEAL COMPANY,MEAL3,3.88,-2.33,-48.27,16425430.63,[]
MELNICK EVEN DESENVOLVIMENTO IMOBILIÁRIO S.A.,MELK3,6.15,10.74,10.28,4068315.21,[]
MANGELS INDUSTRIAL,MGEL4,16.94,8.14,16.06,239563.63,[]
MAGAZINE LUIZA,MGLU3,19.7,108.37,3.68,505954365.18,[]
MILLS,MILS3,7.75,58.68,5.78,18697425.71,[]
MMX MINERACAO E METALICOS,MMXM3,14.0,-719.57,-,7445352.24,['RECUPERAÇÃO JUDICIAL']
MUNDIAL,MNDL3,45.0,5.42,10.96,139544.87,[]
MINUPAR,MNPR3,15.22,2.86,14.58,899709.63,[]
MONTEIRO ARANHA,MOAR3,300.0,13.90,226.69,85430.37,[]
Mosaico Tecnologia ao Consumidor S.A.,MOSI3,19.92,38.46,21.49,28939682.5,[]
MOVIDA,MOVI3,17.58,16.80,17.39,37474398.18,[]
MARFRIG,MRFG3,18.5,3.84,11.56,179029386.55,[]
MRV ENGENHARIA E PARTICIPAÇÕES,MRVE3,17.46,16.65,10.76,66949386.71,[]
MELHORAMENTOS,MSPA3,48.0,-5.49,-65.25,13800.0,[]
METALGRAFICA IGUACU,MTIG4,54.12,30.10,2.72,40917.75,[]
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,MTRE3,11.61,14.30,8.85,10381735.92,[]
METISA,MTSA4,41.29,2.55,18.82,213312.39,[]
MULTIPLAN,MULT3,25.23,18.08,92.51,125588340.74,[]
WETZEL,MWET3,39.9,1.82,31.41,44949.25,['RECUPERAÇÃO JUDICIAL']
WETZEL,MWET4,13.57,1.82,31.41,336477.34,['RECUPERAÇÃO JUDICIAL']
IOCHPE MAXION,MYPK3,16.87,-141.09,-0.49,29503901.61,[]
NEOENERGIA,NEOE3,18.22,8.75,16.39,36755214.05,[]
NEOGRID PARTICIPACOES S.A.,NGRD3,6.74,37.65,16.52,20156874.05,[]
NORDON INDUSTRIAS METALURGICAS,NORD3,21.25,102.40,106.82,119329.91,[]
NATURA &CO HOLDING S.A.,NTCO3,51.29,54.77,3.67,288345367.39,[]
NUTRIPLANT INDUSTRIA E COMERCIO S.A.,NUTR3,240.0,6.72,6.76,218161.73,[]
ODONTOPREV,ODPV3,12.66,10.40,32.09,14698196.97,[]
OURO FINO SAÚDE ANIMAL,OFSA3,36.3,17.55,15.28,1540194.11,[]
OI,OIBR3,1.53,-18.58,-27.40,144646290.37,['RECUPERAÇÃO JUDICIAL']
OI,OIBR4,2.21,-18.58,-27.40,6059295.71,['RECUPERAÇÃO JUDICIAL']
OMEGA GERAÇÃO,OMGE3,37.3,22.55,43.24,28014859.42,[]
OCEANPACT SERVICOS MARITIMOS S.A.,OPCT3,7.78,38.90,6.23,10727465.13,[]
ORIZON VALORIZACAO DE RESIDUOS S.A.,ORVR3,23.99,29.07,15.18,5632221.13,[]
OSX BRASIL,OSXB3,11.17,-7.78,-4.680.14,500898.79,[]
INSTITUTO HERMES PARDINI,PARD3,20.93,11.35,15.19,7267175.34,[]
PANATLANTICA,PATI3,94.0,6.64,15.29,46380.48,[]
PANATLANTICA,PATI4,120.0,6.64,15.29,45360.25,[]
CIA BRASILEIRA DE DISTRIBUIÇÃO,PCAR3,37.55,5.66,6.00,212925579.92,[]
PDG REALTY,PDGR3,6.94,-3.64,-130.63,1074539.97,['RECUPERAÇÃO JUDICIAL']
PADTEC HOLDING S.A.,PDTC3,7.44,34.06,10.49,3064303.37,[]
CIA PARTICIPAÇÕES ALIANCA DA BAHIA,PEAB3,66.3,0.87,739.71,79024.17,[]
CIA PARTICIPAÇÕES ALIANCA DA BAHIA,PEAB4,70.0,0.87,739.71,29001.43,[]
PETROLEO BRASILEIRO S.A. PETROBRAS,PETR3,25.45,5.18,45.61,458965975.58,[]
PETROLEO BRASILEIRO S.A. PETROBRAS,PETR4,26.07,5.18,45.61,1715383672.29,[]
PET CENTER COMERCIO E PARTICIPACOES S.A.,PETZ3,22.17,73.39,7.51,84321592.42,[]
PROFARMA,PFRM3,6.37,10.09,2.05,3093746.47,[]
EMPREENDIMENTOS PAGUE MENOS S.A.,PGMN3,11.75,17.31,4.69,12304741.74,[]
PLASCAR PARTICIPAÇÕES,PLAS3,14.98,-4.26,-18.61,331554.68,[]
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,6.0,7.28,17.84,5475628.66,[]
PARANAPANEMA,PMAM3,15.34,-16.15,-5.35,16959860.16,[]
DIMED,PNVL3,19.92,37.76,3.09,17191075.03,[]
DIMED,PNVL4,19.89,37.76,3.09,302954.26,[]
MARCOPOLO,POMO3,2.57,40.16,2.58,594438.03,[]
