Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
Mosaico Tecnologia ao Consumidor S.A.,MOSI3,19.89,38.36,21.49,28662839.59,[]
MOVIDA,MOVI3,17.52,16.81,17.39,37523182.28,[]
MARFRIG,MRFG3,18.26,3.82,11.56,178066300.36,[]
MRV ENGENHARIA E PARTICIPAÇÕES,MRVE3,17.6,16.74,10.76,66692727.21,[]
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,MTRE3,11.99,15.34,8.85,10861392.18,[]
MULTIPLAN,MULT3,25.38,18.05,92.51,124321738.82,[]
NEOENERGIA,NEOE3,18.15,8.76,16.39,38375677.64,[]
NEOGRID PARTICIPACOES S.A.,NGRD3,6.9,38.37,16.52,19871781.15,[]
NATURA &CO HOLDING S.A.,NTCO3,51.53,55.11,3.67,296841644.87,[]
ODONTOPREV,ODPV3,12.9,10.63,32.09,14732524.87,[]
OURO FINO SAÚDE ANIMAL,OFSA3,36.32,17.55,15.28,1518382.69,[]
OMEGA GERAÇÃO,OMGE3,37.72,22.69,43.24,27923143.33,[]
OCEANPACT SERVICOS MARITIMOS S.A.,OPCT3,7.87,39.31,6.23,10551778.56,[]
ORIZON VALORIZACAO DE RESIDUOS S.A.,ORVR3,23.91,28.98,15.18,5549477.64,[]
INSTITUTO HERMES PARDINI,PARD3,21.38,11.63,15.19,7286538.85,[]
CIA BRASILEIRA DE DISTRIBUIÇÃO,PCAR3,38.83,5.79,6.00,211387307.23,[]
PADTEC HOLDING S.A.,PDTC3,7.69,35.17,10.49,3032990.87,[]
PETROLEO BRASILEIRO S.A. PETROBRAS,PETR4,25.91,5.16,45.61,1703663158.97,[]
PET CENTER COMERCIO E PARTICIPACOES S.A.,PETZ3,23.02,75.99,7.51,87277256.28,[]
PROFARMA,PFRM3,6.4,10.11,2.05,3052909.18,[]
EMPREENDIMENTOS PAGUE MENOS S.A.,PGMN3,11.75,17.31,4.69,12201224.51,[]
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,6.18,7.55,17.84,5650466.08,[]
DIMED,PNVL3,20.1,37.90,3.09,17136045.72,[]
MARCOPOLO,POMO4,2.77,40.09,2.58,13502045.54,[]
