Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
ELETROBRAS,ELET5,64.0,10.7,30.42,10040.0,FASE OPERACIONAL
ELETROBRAS,ELET6,42.99,10.7,30.42,98780000.0,FASE OPERACIONAL
ELETROMIDIA,ELMD3,18.7,-24.53,-47.08,4880000.0,FASE OPERACIONAL
EMAE,EMAE4,90.0,12.02,36.45,366570.0,FASE OPERACIONAL
EMBRAER,EMBR3,17.87,-14.76,-7.78,189750000.0,FASE OPERACIONAL
ENAUTA PART,ENAT3,15.75,10.97,34.36,31720000.0,FASE OPERACIONAL
ENERGIAS BR,ENBR3,18.98,5.71,20.92,63680000.0,FASE OPERACIONAL
ENEVA,ENEV3,17.15,24.38,33.93,107620000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
ENERGISA,ENGI11,47.13,11.31,15.04,77010000.0,FASE OPERACIONAL
ENERGISA,ENGI3,17.45,11.31,15.04,341210.0,FASE OPERACIONAL
ENERGISA,ENGI4,7.39,11.31,15.04,430980.0,FASE OPERACIONAL
ENJOEI,ENJU3,10.55,-24.77,-72.02,25000000.0,FASE OPERACIONAL
ENERGISA MT,ENMT3,58.5,13.08,22.34,237200.0,FASE OPERACIONAL
ENERGISA MT,ENMT4,58.5,13.08,22.34,71750.0,FASE OPERACIONAL
EQTL PARA,EQPA3,4.75,10.15,19.46,223230.0,FASE OPERACIONAL
EQTL PARA,EQPA5,5.56,10.15,19.46,9650.0,FASE OPERACIONAL
EQTL PARA,EQPA6,10.68,10.15,19.46,0.0,FASE OPERACIONAL
EQTL PARA,EQPA7,5.38,10.15,19.46,9860.0,FASE OPERACIONAL
EQUATORIAL,EQTL3,25.48,7.76,26.03,174790000.0,FASE OPERACIONAL
ESPACOLASER,ESPA3,18.08,51.64,16.41,22420000.0,FASE OPERACIONAL
ESTRELA,ESTR4,36.01,5.57,9.71,19120.0,FASE OPERACIONAL
ETERNIT,ETER3,33.56,5.76,32.79,75530000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
EUCATEX,EUCA3,22.99,7.6,12.10,208110.0,FASE OPERACIONAL
EUCATEX,EUCA4,10.68,7.6,12.10,3300000.0,FASE OPERACIONAL
EVEN,EVEN3,10.3,3.46,17.09,14940000.0,FASE OPERACIONAL
EZTEC,EZTC3,30.81,23.27,28.91,75790000.0,FASE OPERACIONAL
