Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
ELECTRO AÇO ALTONA S/A,EALT4,6.27,7.06,10.8,475170.0,[]
ECORODOVIAS,ECOR3,12.37,8.09,42.6,52897900.0,[]
CEEE,EEEL3,520.0,10.49,35.9,3707.0,[]
CEEE,EEEL4,600.0,12.11,35.9,0.0,[]
ENGIE BRASIL,EGIE3,40.8,8.56,42.8,61343900.0,[]
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR3,33.05,8.45,16.3,1324.0,[]
ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,EKTR4,25.05,7.13,16.3,55707.0,[]
ELETROBRÁS,ELET3,43.15,27.41,11.7,250871000.0,[]
ELETROBRÁS,ELET5,64.0,36.66,11.7,15045.0,[]
ELETROBRÁS,ELET6,43.35,27.49,11.7,109014000.0,[]
ELETROMIDIA,ELMD3,17.91,-27.88,-39.6,4596690.0,[]
EMAE,EMAE4,87.08,18.6,34.6,418884.0,[]
EMBRAER,EMBR3,17.27,54.16,2.0,177742000.0,[]
ENAUTA PART,ENAT3,14.61,13.51,25.2,28194200.0,[]
EDP ENERGIAS DO BRASIL S/A,ENBR3,19.02,5.76,20.8,65962300.0,[]
ENEVA,ENEV3,17.23,27.28,30.5,106413000.0,[]
ENERGISA,ENGI11,46.75,9.81,15.4,72652600.0,[]
ENERGISA,ENGI3,17.53,14.41,15.4,316863.0,[]
ENERGISA,ENGI4,7.29,8.66,15.4,371009.0,[]
ENJOEI,ENJU3,10.82,,,25498100.0,[]
ENERGISA MT,ENMT3,57.25,12.92,22.2,78224.0,[]
ENERGISA MT,ENMT4,57.7,13.0,22.2,32878.0,[]
EQTL PARA,EQPA3,4.78,8.36,23.7,270952.0,[]
EQTL PARA,EQPA5,5.56,9.54,23.7,10292.0,[]
EQTL PARAC,EQPA7,5.38,9.27,23.7,9296.0,[]
EQUATORIAL ENERGIA S.A.,EQTL3,25.38,7.52,26.8,182987000.0,[]
ESPACOLASER,ESPA3,17.48,49.59,16.5,20437900.0,[]
ESTRELA,ESTR4,36.7,6.08,9.4,27164.0,[]
