Ticker,Cotação,VARIAÇÃO (12M),P/L,P/VP,DY,carteira investidor 10,P/RECEITA (PSR),DIVIDEND YIELD ,PAYOUT,MARGEM LÍQUIDA,MARGEM BRUTA,MARGEM EBIT,MARGEM EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO CIRC LIQ,VPA,LPA,GIRO ATIVOS,ROE,ROIC,ROA,DÍVIDA LÍQUIDA / PATRIMÔNIO,DÍVIDA LÍQUIDA / EBITDA,DÍVIDA LÍQUIDA / EBIT,DÍVIDA BRUTA / PATRIMÔNIO,PATRIMÔNIO / ATIVOS,PASSIVOS / ATIVOS,LIQUIDEZ CORRENTE,CAGR RECEITAS 5 ANOS,Valor de mercado,Valor de firma,Patrimônio Líquido,Nº total de papeis,Ativos,Ativo Circulante,Dívida Bruta,Dívida Líquida,Disponibilidade,Segmento de Listagem,Free Float,Tag Along,Liquidez Média Diária,Setor,Segmento,data da cotação,CAGR LUCROS 5 ANOS
inep4,"R$ 1,75","-50,00%","0,17","-0,06",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","11,86",-,-,"7.161,55%","-44,96%","-2.140,69%","-1.963,33%","-7,59","-6,96","-0,60","-0,55","0,07","-0,08","-0,08","-28,90","10,57","0,01","-36,57%","226,76%","42,60%","-0,70","-6,99","-6,41","-0,70","-1,16","2,16","0,09","-13,04%",R$ 76.919.000,R$ 974.884.000,R$ -1.280.709.000, 44.316.000,R$ 1.099.607.000,R$ 98.868.000,R$ 899.244.000,R$ 897.965.000,R$ 1.279.000,Tradicional,"85,64%",-,R$ 105.000,Bens Industriais,Máquinas e Equipamentos Industriais,14/10/2024,
intb3,"R$ 20,47","23,53%","11,83","2,42","3,18%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,55","3,18%","37,46%","13,12%","31,02%","12,88%","14,93%","9,87","11,44","10,39","12,05","1,21","2,94","-4,94","8,47","1,73","0,78","20,42%","14,70%","10,26%","-0,12","-0,52","-0,61","0,33","0,50","0,49","2,21","20,54%",R$ 6.706.199.000,R$ 6.368.300.000,R$ 2.775.174.000, 327.611.000,R$ 5.526.474.000,R$ 4.169.424.000,R$ 914.747.000,R$ -337.899.000,R$ 1.252.646.000,Novo Mercado,"34,93%","100,00%",R$ 25.786.000,Telecomunicações,Telecomunicações,14/10/2024,"24,52%"
ipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irbr3,"R$ 44,00","10,22%","9,81","0,79",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,64",-,-,"6,53%","4,40%","3,73%",-,,"-1,45",,"17,20","0,23","3,01","-0,32","55,78","4,48","0,35","8,04%","0,42%","2,31%","-0,86",,"-18,64",-,"0,29","0,71","1,36","-3,09%",R$ 3.619.572.000,R$ -304.480.000,R$ 4.588.742.000, 82.263.000,R$ 15.982.137.000,R$ 4.512.809.000,R$ -,R$ -3.924.053.000,R$ 3.924.053.000,Novo Mercado,"99,48%","100,00%",R$ 35.393.000,Financeiro,Seguradoras,14/10/2024,"-21,15%"
itec3,"R$ 15,61","-61,07%","-13,67","8,58",-,"Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1.016,69",-,-,"-7.435,29%","-121,18%","-18.852,94%","-17.235,29%","-5,90","-5,39","-5,90","-5,39","3,59","9,90","-6,50","1,82","-1,14",-,"-62,75%","-174,09%","-26,23%",-,-,-,-,"0,42","0,58","5,23",-,R$ 172.836.000,R$ 172.836.000,R$ 20.143.000, 11.072.000,R$ 48.180.000,R$ 21.590.000,R$ -,R$ -,R$ -,Tradicional,"0,82%",-,,Tecnologia da Informação,Computadores e Equipamentos,31/03/2024,
itsa3,"R$ 10,55","29,27%","7,61","1,30","7,04%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","14,25","7,04%","63,15%","187,13%","30,20%","191,32%","207,66%","7,12","7,73","6,86","7,45","1,01","15,33","-1,14","8,09","1,39","0,07","17,13%","15,14%","13,56%","0,05","0,26","0,28","0,14","0,77","0,19","2,25","8,84%",R$ 109.029.764.000,R$ 113.082.764.000,R$ 83.551.000.000, 10.328.149.000,R$ 108.172.000.000,R$ 12.808.000.000,R$ 11.699.000.000,R$ 4.053.000.000,R$ 7.646.000.000,Nível 1,"65,74%","80,00%",R$ 1.508.000,Financeiro,Holdings Diversificadas,14/10/2024,"6,77%"
itsa4,"R$ 10,56","31,99%","7,62","1,31","7,05%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","14,26","7,05%","63,15%","187,13%","30,20%","191,32%","207,66%","7,12","7,73","6,87","7,45","1,01","15,34","-1,14","8,09","1,39","0,07","17,13%","15,14%","13,56%","0,05","0,26","0,28","0,14","0,77","0,19","2,25","8,84%",R$ 109.029.764.000,R$ 113.082.764.000,R$ 83.551.000.000, 10.328.149.000,R$ 108.172.000.000,R$ 12.808.000.000,R$ 11.699.000.000,R$ 4.053.000.000,R$ 7.646.000.000,Nível 1,"65,74%","80,00%",R$ 257.581.000,Financeiro,Holdings Diversificadas,14/10/2024,"6,77%"
itub3,"R$ 30,32","37,46%","8,03","1,53","7,79%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","0,92","7,79%","62,15%","11,51%","41,14%","14,00%",-,,"7,09",,"6,60","0,11","0,15","-0,48","19,76","3,78","0,12","19,10%","19,52%","1,39%",,,,,"0,07","1,00","31,11","10,75%",R$ 319.213.061.000,R$ 319.213.061.000,R$ 193.749.000.000, 9.804.135.000,R$ 2.722.720.000.000,R$ 2.106.600.000.000,,,R$ 33.862.000.000,Nível 1,"52,98%","80,00%",R$ 15.185.000,Financeiro,Bancos,14/10/2024,"6,34%"
itub4,"R$ 34,85","33,47%","9,23","1,76","6,79%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,06","6,79%","62,15%","11,51%","41,14%","14,00%",-,,"7,09",,"7,59","0,13","0,17","-0,55","19,76","3,78","0,12","19,10%","19,52%","1,39%",,,,,"0,07","1,00","31,11","10,75%",R$ 319.213.061.000,R$ 319.213.061.000,R$ 193.749.000.000, 9.804.135.000,R$ 2.722.720.000.000,R$ 2.106.600.000.000,,,R$ 33.862.000.000,Nível 1,"52,98%","80,00%",R$ 806.722.000,Financeiro,Bancos,14/10/2024,"6,34%"
jall3,"R$ 6,44","-23,04%","58,79","0,94","1,10%","Tenha mais controle sobre suas finanças. Gerencie seus ativos pelas Carteira Investidor 10


ADICIONAR NA CARTEIRA
Saiba mais","1,05","1,10%","61,80%","1,78%","31,66%","24,38%","78,61%","3,44","11,09","1,33","4,30","0,27","1,08","-0,43","6,83","0,11","0,26","1,60%","5,54%","0,46%","1,49","2,11","6,79","2,13","0,29","0,71","3,17",,R$ 1.954.809.000,R$ 5.044.257.000,R$ 2.072.380.000, 303.541.000,R$ 7.215.464.000,R$ 2.633.886.000,R$ 4.405.101.000,R$ 3.089.448.000,R$ 1.315.653.000,Nível 1,"31,69%","100,00%",R$ 3.724.000,Consumo não Cíclico,Açucar e Alcool,14/10/2024,
