Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
METALÚRGICA GERDAU,GOAU4,12.24,1.06,23.9,104568000.0
GOL LINHAS AEREAS INTELIGENTES SA,GOLL4,18.43,-4.85,-51.1,119798000.0
CELGPAR,GPAR3,35.0,15.13,62.6,989.0
GRENDENE SA,GRND3,10.3,20.11,17.3,18626500.0
Generalshopp,GSHP3,27.56,39.94,33.0,8064.0
GUARARAPES CONFECÇÕES,GUAR3,11.98,36.44,2.8,17090900.0
HAGA,HAGA3,7.85,33.81,5.9,385668.0
HAGA,HAGA4,1.89,4.76,5.9,167944.0
HAPVIDA,HAPV3,12.35,179.12,5.2,494865000.0
Helbor,HBOR3,4.08,20.68,7.5,4028080.0
HBR REALTY,HBRE3,6.87,4.08,358.0,279021.0
HIDROVIAS,HBSA3,3.51,-709.33,-0.9,8703680.0
CIA HABITASUL,HBTS5,50.0,5.7,41.6,12968.0
HERCULES S/A,HETA3,96.0,160.94,88.7,0.0
HERCULES S/A,HETA4,7.28,141.45,88.7,29169.0
HOTEIS OTHON S.A.,HOOT4,2.66,-1.77,-52.7,16831.0
HYPERA,HYPE3,39.22,15.68,32.1,132722000.0
INFRACOMM,IFCM3,14.5,-96.41,-10.4,13773800.0
GRADIENTE,IGBR3,39.9,-6.52,,743019.0
IGUATEMI S.A,IGTI11,21.7,20.7,40.3,45153500.0
IGUATEMI S.A,IGTI3,2.65,18.29,40.3,1380200.0
INEPAR S/A,INEP3,1.3,0.75,,1420210.0
INEPAR S/A,INEP4,1.3,0.75,,842978.0
INTELBRAS,INTB3,33.93,28.7,12.0,43405000.0
ITAÚSA,ITSA3,10.85,72.97,16.7,2994300.0
ITAÚSA,ITSA4,10.79,72.58,16.7,262423000.0
JALLESMACHAD,JALL3,9.85,5.36,51.0,9041200.0
JBS,JBSS3,37.51,4.79,9.1,442781000.0
JOÃO FORTES ENGENHARIA S.A.,JFEN3,1.31,-6.58,,344521.0
JHSF Part,JHSF3,6.8,5.08,56.6,32762800.0
JOSAPAR S/A,JOPA3,26.85,9.75,4.2,2101.0
JOSAPAR S/A,JOPA4,36.0,10.9,4.2,88.0
JULIO SIMOES,JSLG3,7.91,14.49,8.4,4799260.0
KEPLER WEBER SA,KEPL3,51.04,7.16,16.6,16466600.0
KLABIN,KLBN11,23.73,8.8,32.8,158232000.0
KLABIN,KLBN3,5.61,9.7,32.8,842240.0
KLABIN,KLBN4,4.56,8.61,32.8,3463960.0
KORA SAUDE,KRSA3,3.5,27.0,11.7,2294590.0
TERRASANTAPA,LAND3,0.0,,,0.0
LAVVI,LAVV3,5.22,3.62,28.2,5138100.0
LOCAMERICA,LCAM3,27.54,11.28,29.0,74152000.0
MAHLE METAL LEVE,LEVE3,25.74,4.96,17.9,7507120.0
LIGHT SA,LIGT3,10.72,9.37,8.3,28622100.0
LIGHTPAR,LIPR3,68.0,-120.05,,9251.0
QUERO-QUERO,LJQQ3,10.85,11.11,8.7,26539900.0
