Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
PORTOBELLO S/A,PTBL3,14.35,16.8,10.8,53136200.0,[]
KLABIN,KLBN11,25.92,17.45,22.7,178573000.0,[]
FLEURY,FLRY3,26.7,17.49,18.3,46924400.0,[]
AMBEV S/A,ABEV3,17.47,17.68,23.6,323675000.0,[]
LOCAMERICA,LCAM3,27.12,17.78,17.0,61726400.0,[]
PETTENATI,PTNT3,14.25,18.16,7.4,843418.0,[]
GRUPO MATEUS,GMAT3,7.92,18.31,6.9,35361100.0,[]
BLAU,BLAU3,43.5,18.46,35.1,12323700.0,[]
EMAE,EMAE4,87.4,18.67,34.6,419162.0,[]
ROMI,ROMI3,27.59,19.49,11.5,48747300.0,[]
MOVIDA,MOVI3,17.6,19.64,14.9,37985000.0,[]
ULTRAPAR PARTICIPAÇÕES SA,UGPA3,19.33,19.72,2.1,109387000.0,[]
POSITIVO INF,POSI3,13.25,19.76,4.4,122973000.0,[]
Log-In,LOGN3,18.65,19.9,12.3,16923700.0,[]
CIA ENERG CEARA - COELCE,COCE5,57.76,19.95,6.0,1027850.0,[]
QUERO-QUERO,LJQQ3,20.65,20.06,11.2,28240400.0,[]
ANIMA,ANIM3,12.05,20.42,16.7,24751900.0,[]
SCHULZ,SHUL4,10.38,20.83,8.9,5502960.0,[]
CIELO,CIEL3,4.17,21.12,11.6,108587000.0,[]
AMBIPAR,AMBP3,30.28,22.37,17.6,11207300.0,[]
HYPERA,HYPE3,35.15,22.44,27.3,96603200.0,[]
MARCOPOLO,POMO4,2.77,23.28,4.5,14595700.0,[]
PETRORIO,PRIO3,18.85,23.6,29.1,380896000.0,[]
VALID,VLID3,9.7,23.62,3.5,7764110.0,[]
LOJAS AMERICANAS S.A.,LAME4,19.3,24.91,6.8,249446000.0,[]
RUMO S.A.,RAIL3,20.8,25.49,27.1,166167000.0,[]
CRUZEIRO EDU,CSED3,13.56,25.54,11.4,4755110.0,[]
BR MALLS PARTICIPAÇÔES S/A,BRML3,10.96,25.68,53.8,164003000.0,[]
JULIO SIMOES,JSLG3,10.68,26.17,13.9,4084590.0,[]
HBR REALTY,HBRE3,15.89,26.61,92.4,2365860.0,[]
INTELBRAS,INTB3,27.02,26.72,12.9,35897300.0,[]
EZTec,EZTC3,30.41,27.21,24.3,76768100.0,[]
ENEVA,ENEV3,17.22,27.27,30.5,106815000.0,[]
ELETROBRÁS,ELET3,43.21,27.43,11.7,255187000.0,[]
LOCALIZA RENT A CAR,RENT3,63.4,27.67,19.3,308661000.0,[]
ALIANSCSONAE,ALSO3,29.29,27.74,39.4,40670600.0,[]
GAFISA,GFSA3,4.18,28.09,6.8,21731500.0,[]
OMEGA GER,OMGE3,37.34,28.75,33.9,29577800.0,[]
BR PROPERTIES,BRPR3,9.44,29.07,69.4,13914000.0,[]
IGUATEMI,IGTA3,43.38,30.17,45.9,92983700.0,[]
M.DIASBRANCO,MDIA3,27.49,31.21,4.4,41634400.0,[]
VAMOS,VAMO3,50.0,31.56,23.8,24535700.0,[]
GRUPO NATURA,NTCO3,51.25,31.74,6.3,293372000.0,[]
LOG COM PROP,LOGG3,29.4,32.31,75.6,11291900.0,[]
VIVARA S.A.,VIVA3,28.35,33.86,18.3,24533800.0,[]
ORIZON,ORVR3,23.99,33.92,13.0,5698960.0,[]
COSAN SA INDUSTRIA E COMERCIO,CSAN3,21.95,36.2,13.7,177061000.0,[]
Multiplan,MULT3,25.22,36.64,45.6,126104000.0,[]
WEG SA,WEGE3,32.8,36.69,19.6,342042000.0,[]
VULCABRAS S/A.,VULC3,8.98,36.86,5.1,5432700.0,[]
