Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
DOMMO ENERGIA,DMMO3,0.97,3.11,97.40,15086782.04,[]
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,DMVF3,4.03,38.66,0.36,421059.56,[]
DOHLER,DOHL3,19.0,9.18,18.34,3900.0,[]
DOHLER,DOHL4,5.84,9.18,18.34,23610.36,[]
Dotz S.A.,DOTZ3,2.99,-2.55,-39.70,267619.84,[]
DTCOM,DTCY3,7.55,-30.65,-32.68,1816.0,[]
DURATEX,DXCO3,13.77,6.35,24.57,52703465.12,[]
ELECTRO ACO ALTONA,EALT3,11.18,7.59,11.27,3673.31,[]
ELECTRO ACO ALTONA,EALT4,6.93,7.59,11.27,307438.72,[]
ECORODOVIAS,ECOR3,7.19,10.79,26.17,46097772.92,[]
ENCORPAR,ECPR3,79.89,-8.67,-,15978.0,[]
ENCORPAR,ECPR4,85.8,-8.67,-,43866.67,[]
CEEE-GT,EEEL3,400.0,7.26,46.00,40000.0,[]
CEEE-GT,EEEL4,399.0,7.26,46.00,39900.0,[]
ENGIE BRASIL,EGIE3,40.78,7.71,45.88,48208338.16,[]
ELEKTRO,EKTR3,33.73,7.84,14.77,5073.5,[]
ELEKTRO,EKTR4,26.9,7.84,14.77,8963.67,[]
ELETROBRAS,ELET3,33.69,8.81,29.60,155147580.28,[]
ELETROBRAS,ELET5,64.5,8.81,29.60,6450.0,[]
ELETROBRAS,ELET6,33.16,8.81,29.60,69876670.48,[]
ELETROMIDIA S.A.,ELMD3,14.0,-61.44,-9.18,1697206.76,[]
EMAE - EMPRESA METROP.AGUAS ENERGIA,EMAE4,50.0,6.50,36.82,620894.84,[]
EMBRAER,EMBR3,18.97,23.35,3.92,225963884.36,[]
ENAUTA PARTICIPAÇÕES,ENAT3,15.73,2.32,88.17,19674815.64,[]
EDP Brasil,ENBR3,20.91,5.21,20.89,77896056.64,[]
ENEVA,ENEV3,13.33,16.45,29.46,97602128.48,[]
ENERGISA,ENGI11,43.36,7.48,16.87,70676736.24,[]
ENERGISA,ENGI3,14.1,7.48,16.87,126386.84,[]
ENERGISA,ENGI4,7.36,7.48,16.87,195670.96,[]
ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.,ENJU3,2.92,-1.37,-109.53,6978033.52,[]
ENERGISA MATO GROSSO,ENMT3,79.9,13.12,24.08,436935.58,[]
ENERGISA MATO GROSSO,ENMT4,81.79,13.12,24.08,28002.5,[]
EMBPAR PARTICIPACOES S.A.,EPAR3,14.52,3.08,8.30,24290.21,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA3,5.44,9.36,20.30,38358.4,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA5,7.3,9.36,20.30,10851.0,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA6,10.48,9.36,20.30,,[]
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQPA7,6.62,9.36,20.30,3304.0,[]
EQUATORIAL ENERGIA,EQTL3,23.96,7.16,22.98,150563588.12,[]
MPM CORPÓREOS S.A.,ESPA3,6.03,7.24,35.02,29765668.56,[]
ESTRELA,ESTR3,17.8,8.28,8.51,,[]
ESTRELA,ESTR4,67.18,8.28,8.51,13062.4,[]
ETERNIT,ETER3,17.09,2.06,38.21,42255569.56,['RECUPERAÇÃO JUDICIAL']
EUCATEX,EUCA3,14.29,3.13,19.51,134672.56,[]
EUCATEX,EUCA4,9.13,3.13,19.51,508358.96,[]
EVEN CONSTRUTORA E INCORPORADORA,EVEN3,7.02,2.09,15.91,13956251.2,[]
EZ TEC,EZTC3,19.14,10.01,31.92,43237803.32,[]
FERBASA,FESA3,50.0,7.11,27.41,35602.5,[]
FERBASA,FESA4,47.85,7.11,27.41,19869898.72,[]
FERTILIZANTES HERINGER,FHER3,15.09,2.43,15.60,13881166.64,['RECUPERAÇÃO JUDICIAL']
UNIFIQUE TELECOMUNICAÇÕES S.A.,FIQE3,6.08,13.59,31.77,3707336.56,[]
FLEURY,FLRY3,19.39,11.55,18.83,42336258.6,[]
FRAS-LE,FRAS3,12.9,9.15,15.03,3659598.8,[]
METALFRIO SOLUTIONS,FRIO3,50.59,10.28,5.71,5059.0,[]
POMIFRUTAS,FRTA3,4.88,-9.88,-45.44,10623.04,['RECUPERAÇÃO JUDICIAL']
RIO PARANAPANEMA,GEPA3,32.0,3.91,82.27,12945.0,[]
RIO PARANAPANEMA,GEPA4,32.2,3.91,82.27,15302.96,[]
GAFISA,GFSA3,2.05,9.91,12.25,12851749.84,[]
GERDAU,GGBR3,23.3,2.89,27.09,1156154.68,[]
GERDAU,GGBR4,28.78,2.89,27.09,269573297.28,[]
GPS PARTICIPACOES E EMPREENDIMENTOS S.A.,GGPS3,15.67,18.59,9.11,12939293.6,[]
GRUPO MATEUS S.A.,GMAT3,5.7,14.89,5.78,24401643.12,[]
NOTRE DAME INTERMEDICA,GNDI3,71.02,115.69,3.28,388345727.32,[]
METALURGICA GERDAU,GOAU3,10.39,1.02,27.04,858141.6,[]
